fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,6,12,0.03485109284520149,1,1,1,100.0,44.73002590157402,[ $class$ [ $1$ ] ]
NA,2,6,12,0.034473396837711334,1,1,1,50.0,55.26106018333997,[ $class$ [ $0$ ] ]
NA,3,6,12,0.03126506321132183,1,1,1,66.66666666666666,44.72792505481363,[ $class$ [ $1$ ] ]
NA,4,6,13,0.04745706310495734,2,2,3,75.0,41.74641148325359,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,6,14,0.05264049582183361,2,2,3,80.0,56.96909272183449,[ $feature_6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,6,15,0.03792094811797142,2,2,3,83.33333333333334,56.96051057040287,[ $feature_7  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,6,16,0.15418127458542585,3,3,5,85.71428571428571,57.231198882904444,[ $feature_2  \eq  1$ [ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,8,6,17,0.4120683898217976,3,3,5,87.5,57.22266560255387,[ $feature_9  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,9,6,18,0.9795747939497232,4,4,7,88.88888888888889,62.64218718818599,[ $feature_5  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_2  \eq  1$ [ $feature_10  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,10,6,19,1.2951927231624722,4,4,7,90.0,62.634730538922156,[ $feature_5  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_2  \eq  1$ [ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,11,6,19,0.7757434491068125,3,3,5,81.81818181818183,62.36773807147136,[ $feature_5  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,6,20,2.3566814637742937,4,4,7,83.33333333333334,62.63977635782748,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_3  \eq  1$ [ $feature_13  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,13,6,21,1.8382438849657774,4,4,7,84.61538461538461,62.63231475933693,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_3  \eq  1$ [ $feature_14  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,14,6,22,3.952817996032536,4,4,7,85.71428571428571,62.4650419496604,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_12  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,15,6,23,5.44628031225875,4,4,7,86.66666666666667,62.45754245754246,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_13  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_15  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,16,6,24,9.164571637753397,2,2,3,81.25,58.05355715427658,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,17,6,25,9.597653739154339,2,2,3,82.35294117647058,58.045172896262244,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,18,6,26,13.448308890219778,2,2,3,83.33333333333334,58.03678528588565,[ $feature_7  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,19,6,27,20.690337074920535,4,4,7,89.47368421052632,62.427514497100574,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_17  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_20  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,20,6,28,21.75230285478756,4,4,7,90.0,62.419999999999995,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_18  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_21  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,22,6,29,38.45537878014147,4,4,7,86.36363636363636,62.42496998799519,[ $feature_9  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_19  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_22  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,24,6,31,71.40832494199276,4,4,7,87.5,62.7502001601281,[ $feature_10  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_21  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,26,6,32,95.85992782237008,4,4,7,84.61538461538461,62.755306367641175,[ $feature_10  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_22  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_24  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,28,6,33,117.36336718406528,6,6,11,89.28571428571429,61.99919871794872,[ $feature_11  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_3  \eq  1$ [ $feature_25  \eq  1$ [ $feature_29  \eq  1$ [ $feature_6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,30,6,35,140.92722400696948,6,6,11,90.0,61.98396793587174,[ $feature_12  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_3  \eq  1$ [ $feature_28  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_32  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,32,6,37,159.16457046428695,4,4,7,84.375,62.730553327987174,[ $feature_12  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_27  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_30  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,34,6,39,-1,-1,-1,-1,-1,-1,NA
NA,36,6,40,-1,-1,-1,-1,-1,-1,NA
NA,38,6,41,-1,-1,-1,-1,-1,-1,NA
NA,40,6,41,-1,-1,-1,-1,-1,-1,NA
NA,45,6,45,-1,-1,-1,-1,-1,-1,NA
NA,50,6,45,-1,-1,-1,-1,-1,-1,NA
NA,55,6,46,-1,-1,-1,-1,-1,-1,NA
NA,60,6,47,-1,-1,-1,-1,-1,-1,NA
NA,65,6,49,-1,-1,-1,-1,-1,-1,NA
NA,70,6,49,-1,-1,-1,-1,-1,-1,NA
