fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,12,24,0.004202153999358416,1,1,1,100.0,53.72140167969881,[ $class$ [ $0$ ] ]
NA,2,12,24,0.006454647984355688,2,2,3,100.0,56.35047067342506,[ $juvenile-misdemeanors:=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,12,24,0.006694772746413946,3,3,5,100.0,38.10834298957126,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $juvenile-misdemeanors:=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,4,12,24,0.006830640137195587,3,3,5,100.0,39.41764450239027,[ $age:<26 \eq 1$ [ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,5,12,24,0.007643888238817453,3,3,5,100.0,55.5201390901188,[ $priors:2-3 \eq 0$ [ $class$ [ $1$ ] ] [ $juvenile-misdemeanors:=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,6,12,24,0.007242393214255571,3,3,5,100.0,54.108100275322414,[ $age:<26 \eq 1$ [ $priors:2-3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,7,12,24,0.0076607572846114635,3,3,5,100.0,54.10144927536232,[ $age:<26 \eq 1$ [ $priors:2-3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,8,12,24,0.008272729348391294,3,3,5,100.0,54.094796347296715,[ $age:<26 \eq 0$ [ $class$ [ $1$ ] ] [ $priors:2-3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,9,12,24,0.00996752642095089,3,3,5,77.77777777777779,56.625108727167294,[ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $priors:2-3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,10,12,24,0.009897150099277496,3,3,5,80.0,56.61881977671451,[ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $priors:2-3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,11,12,24,0.03573987493291497,3,4,7,90.9090909090909,55.88747099767981,[ $juvenile-crimes:=0 \eq 0$ [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:2-3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,12,24,-1,-1,-1,-1,-1,-1,NA
NA,13,12,24,-1,-1,-1,-1,-1,-1,NA
NA,14,12,24,0.06011412013322115,3,3,5,57.14285714285714,39.41679965182069,[ $priors:>3 \eq 1$ [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,15,12,24,0.0727024138905108,3,3,5,60.0,39.408009286128845,[ $age:<26 \eq 1$ [ $class$ [ $1$ ] ] [ $priors:>3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,16,12,24,0.07165853306651115,3,4,7,87.5,45.55216949644464,[ $priors:>3 \eq 1$ [ $age:<26 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sex:Female \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,17,12,24,0.0691166091710329,3,4,7,88.23529411764706,45.54426705370101,[ $priors:>3 \eq 1$ [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sex:Female \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,18,12,24,1.0881953830830753,2,2,3,55.55555555555556,36.05748294382349,[ $priors:>3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,19,12,24,0.013611024711281061,2,2,3,57.89473684210527,36.048199767711964,[ $priors:>3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,20,12,24,0.013384727295488119,2,2,3,55.00000000000001,36.05343400609844,[ $priors:>3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,22,12,24,1.5378066459670663,3,3,5,54.54545454545454,36.04938271604938,[ $priors:>3 \eq 0$ [ $class$ [ $1$ ] ] [ $sex:Female \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,24,12,24,1.774026941973716,2,2,3,54.166666666666664,36.045329071625744,[ $priors:>3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,26,12,24,1.8171457517892122,3,3,5,76.92307692307693,42.17410260136608,[ $sex:Female \eq 0$ [ $class$ [ $0$ ] ] [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,28,12,24,9.099877749104053,3,3,5,75.0,42.17182730047972,[ $sex:Female \eq 1$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,30,12,24,10.091935346834362,3,3,5,53.333333333333336,42.83844699723717,[ $age:<23 \eq 0$ [ $class$ [ $1$ ] ] [ $priors:=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,32,12,24,0.4964233268983662,2,2,3,71.875,51.301818181818184,[ $sex:Female \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,34,12,24,0.50255225924775,2,2,3,70.58823529411765,51.30219700276444,[ $sex:Female \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,36,12,24,0.5566421691328287,1,1,1,47.22222222222222,46.26691893465289,[ $class$ [ $1$ ] ]
NA,38,12,24,0.6748877130448818,1,1,1,47.368421052631575,46.26583199883535,[ $class$ [ $1$ ] ]
NA,40,12,24,1.792342436965555,1,1,1,45.0,46.279306829765545,[ $class$ [ $1$ ] ]
NA,45,12,24,1.280882413033396,1,1,1,46.666666666666664,46.26930923928884,[ $class$ [ $1$ ] ]
NA,50,12,24,11.36878125090152,2,2,3,64.0,51.30523552574012,[ $sex:Female \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,55,12,24,129.69955129083246,2,2,3,63.63636363636363,55.531231757151204,[ $age:<21 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
