fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,12,24,-1,-1,-1,-1,-1,-1,NA
NA,2,12,24,-1,-1,-1,-1,-1,-1,NA
NA,3,12,24,-1,-1,-1,-1,-1,-1,NA
NA,4,12,24,-1,-1,-1,-1,-1,-1,NA
NA,5,12,24,-1,-1,-1,-1,-1,-1,NA
NA,6,12,24,-1,-1,-1,-1,-1,-1,NA
NA,7,12,24,-1,-1,-1,-1,-1,-1,NA
NA,8,12,24,-1,-1,-1,-1,-1,-1,NA
NA,9,12,24,-1,-1,-1,-1,-1,-1,NA
NA,10,12,24,-1,-1,-1,-1,-1,-1,NA
NA,11,12,24,-1,-1,-1,-1,-1,-1,NA
NA,12,12,24,-1,-1,-1,-1,-1,-1,NA
NA,13,12,24,-1,-1,-1,-1,-1,-1,NA
NA,14,12,24,-1,-1,-1,-1,-1,-1,NA
NA,15,12,24,-1,-1,-1,-1,-1,-1,NA
NA,16,12,24,-1,-1,-1,-1,-1,-1,NA
NA,17,12,24,0.9283475931733847,4,4,7,88.23529411764706,45.25399129172714,[ $feature_0  \eq  1$ [ $feature_6  \eq  1$ [ $feature_23  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,18,12,24,1.0776637317612767,3,3,5,83.33333333333334,42.19770648860502,[ $feature_0  \eq  1$ [ $feature_23  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,19,12,24,0.859608830884099,3,3,5,84.21052631578947,42.18931475029036,[ $feature_0  \eq  1$ [ $feature_22  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,20,12,24,0.8067198330536485,3,3,5,80.0,42.195440685349205,[ $feature_0  \eq  1$ [ $feature_22  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,22,12,24,1.3333648419938982,3,3,5,77.27272727272727,42.19317356572259,[ $feature_0  \eq  1$ [ $feature_22  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,24,12,24,2.2015622910112143,3,3,5,79.16666666666666,42.17637657997966,[ $feature_0  \eq  1$ [ $feature_22  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,26,12,24,2.3426873348653316,1,1,1,53.84615384615385,53.727655863973254,[ $class$ [ $0$ ] ]
NA,28,12,24,3.1689900648780167,1,1,1,53.57142857142857,53.728739642389876,[ $class$ [ $0$ ] ]
NA,30,12,24,2.5907675651833415,3,4,7,76.66666666666667,47.06994328922495,[ $feature_4  \eq  1$ [ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $feature_16  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,32,12,24,1.3439775477163494,1,1,1,53.125,53.730909090909094,[ $class$ [ $0$ ] ]
NA,34,12,24,1.3367170770652592,1,1,1,52.94117647058824,53.73199476211261,[ $class$ [ $0$ ] ]
NA,36,12,24,1.415554721839726,2,2,3,72.22222222222221,51.28802212196187,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,38,12,24,1.411231068894267,2,2,3,71.05263157894737,51.28839714660067,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,40,12,24,2.2604171871207654,2,2,3,70.0,51.28877238968982,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,45,12,24,2.505785223096609,1,1,1,53.333333333333336,53.73069076071116,[ $class$ [ $0$ ] ]
NA,50,12,24,3.2190944589674473,1,1,1,54.0,53.726119294151964,[ $class$ [ $0$ ] ]
NA,55,12,24,4.902391452807933,2,2,3,63.63636363636363,55.531231757151204,[ $feature_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,60,12,24,6.040843801107258,2,2,3,63.33333333333333,59.47130129983934,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,65,12,24,2.7868061852641404,2,2,3,64.61538461538461,59.45629932768196,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,70,12,24,4.336967438925058,2,2,3,67.14285714285714,59.426649115108965,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,75,12,24,5.700960632879287,2,2,3,65.33333333333333,55.48887587822014,[ $feature_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,80,12,24,7.308142366353422,1,1,1,57.49999999999999,53.68390215321518,[ $class$ [ $0$ ] ]
NA,85,12,24,7.648277336731553,3,3,5,69.41176470588235,59.71855760773966,[ $feature_15  \eq  1$ [ $feature_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,90,12,24,8.239361735060811,3,3,5,71.11111111111111,59.689012762212116,[ $feature_15  \eq  1$ [ $feature_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,100,12,24,6.440273783169687,1,1,1,57.99999999999999,53.66534449831056,[ $class$ [ $0$ ] ]
NA,110,12,24,6.295588522218168,1,1,1,55.45454545454545,53.700161836104165,[ $class$ [ $0$ ] ]
NA,120,12,24,6.86869174009189,3,3,5,66.66666666666666,59.71710623250331,[ $feature_15  \eq  1$ [ $feature_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,130,12,24,6.453472994733602,4,4,7,70.0,58.152574885642615,[ $feature_15  \eq  1$ [ $feature_2  \eq  1$ [ $feature_20  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,140,12,24,6.269756273832172,3,3,5,66.42857142857143,58.10551204374169,[ $feature_15  \eq  1$ [ $feature_20  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,150,12,24,6.470184229314327,3,3,5,67.33333333333333,58.073109368062745,[ $feature_15  \eq  1$ [ $feature_20  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,160,12,24,6.370330354198813,1,1,1,53.75,53.72758262931673,[ $class$ [ $0$ ] ]
NA,170,12,24,7.122639077249914,1,1,1,54.11764705882353,53.71827222799466,[ $class$ [ $0$ ] ]
NA,180,12,24,6.643873914144933,2,2,3,63.33333333333333,59.40240820573807,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,200,12,24,5.789599223993719,1,1,1,52.5,53.7647234232891,[ $class$ [ $0$ ] ]
NA,220,12,24,6.150450961198658,1,1,1,54.54545454545454,53.70121130551817,[ $class$ [ $0$ ] ]
NA,240,12,24,4.756382227875292,1,1,1,55.41666666666667,53.667316634168294,[ $class$ [ $0$ ] ]
NA,260,12,24,2.6355295153334737,2,2,3,63.84615384615384,59.33503836317136,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,280,12,24,3.0510610942728817,2,2,3,63.92857142857142,59.317941753432926,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,300,12,24,2.3946733879856765,1,1,1,55.666666666666664,53.64007870440442,[ $class$ [ $0$ ] ]
NA,325,12,24,2.7202976937405765,1,1,1,56.61538461538461,53.58553631115163,[ $class$ [ $0$ ] ]
NA,350,12,24,4.333659448195249,1,1,1,56.285714285714285,53.59158151593717,[ $class$ [ $0$ ] ]
NA,375,12,24,2.7672491893172264,1,1,1,55.46666666666666,53.628291488058785,[ $class$ [ $0$ ] ]
NA,400,12,24,2.9851676267571747,2,2,3,62.74999999999999,59.30536345474104,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,425,12,24,2.883183327037841,1,1,1,56.94117647058824,53.517432891083,[ $class$ [ $0$ ] ]
NA,450,12,24,2.3755363319069147,2,2,3,62.88888888888889,59.269010376335764,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,475,12,24,2.6240015449002385,2,2,3,62.31578947368421,59.297263681592035,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,500,12,24,2.5086621600203216,2,2,3,62.0,59.310129545809275,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,550,12,24,2.093221717979759,2,2,3,61.81818181818181,59.30470347648262,[ $feature_15  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,600,12,24,2.0726794293150306,2,2,3,62.0,64.07166640241002,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,650,12,24,1.995302537921816,2,2,3,62.0,64.08822119226465,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,700,12,24,2.654298995155841,2,2,3,62.71428571428571,64.02448848074755,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,750,12,24,2.5698537318967283,2,2,3,62.93333333333333,64.00844567159331,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,800,12,24,2.7091361582279205,2,2,3,63.24999999999999,63.97576551498281,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,850,12,24,2.958979736082256,2,2,3,63.52941176470588,63.942545814759775,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,12,24,2.8541998555883765,2,2,3,63.888888888888886,63.8921258531713,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,950,12,24,2.8348661698400974,2,2,3,63.368421052631575,63.975155279503106,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1000,12,24,2.5582572328858078,2,2,3,63.7,63.92415777890639,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1100,12,24,4.777241406030953,2,2,3,63.63636363636363,63.940072326502495,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1200,12,24,2.6057970668189228,2,2,3,63.66666666666667,63.93902225337305,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1300,12,24,3.9997957488521934,2,2,3,63.38461538461539,64.00927412163368,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1400,12,24,2.6349897980690002,2,2,3,63.28571428571429,64.04575994189213,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1500,12,24,2.6729772887192667,2,2,3,63.733333333333334,63.93563898649899,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1600,12,24,4.123857145663351,2,2,3,63.87500000000001,63.89674015451291,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1700,12,24,2.5806020060554147,2,2,3,63.70588235294118,63.95237180718264,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1800,12,24,2.617084522731602,1,1,1,55.333333333333336,53.16232621891521,[ $class$ [ $0$ ] ]
NA,1900,12,24,2.823240723926574,1,1,1,55.26315789473685,53.14559616536848,[ $class$ [ $0$ ] ]
NA,2000,12,24,2.742056175135076,1,1,1,55.300000000000004,53.08742612594253,[ $class$ [ $0$ ] ]
NA,2200,12,24,2.8515317859128118,1,1,1,54.72727272727273,53.26110048863395,[ $class$ [ $0$ ] ]
NA,2400,12,24,4.35855058580637,1,1,1,54.50000000000001,53.31706234745951,[ $class$ [ $0$ ] ]
NA,2600,12,24,2.718771992251277,1,1,1,54.769230769230774,53.09960529370792,[ $class$ [ $0$ ] ]
NA,2800,12,24,4.394859842956066,1,1,1,54.67857142857143,53.08010713416119,[ $class$ [ $0$ ] ]
NA,3000,12,24,4.420991616789252,1,1,1,54.800000000000004,52.90504223189147,[ $class$ [ $0$ ] ]
NA,3200,12,24,2.804014401976019,1,1,1,55.21875000000001,52.44132721877529,[ $class$ [ $0$ ] ]
NA,3400,12,24,4.405728230252862,1,1,1,54.8235294117647,52.666096378671234,[ $class$ [ $0$ ] ]
NA,3600,12,24,4.531743181869388,1,1,1,54.55555555555556,52.82733595403689,[ $class$ [ $0$ ] ]
NA,3800,12,24,2.812414470128715,1,1,1,54.97368421052632,52.204699066623746,[ $class$ [ $0$ ] ]
NA,4000,12,24,2.8099569752812386,2,2,3,64.225,63.43309253525972,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5000,12,24,2.8049487131647766,1,1,1,54.54,51.59937073938122,[ $class$ [ $0$ ] ]
NA,6000,12,24,2.8961887201294303,1,1,1,54.21666666666667,50.49614112458654,[ $class$ [ $0$ ] ]
