fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,22,44,0.00255410885438323,1,1,1,100.0,69.62590731434952,[ $class$ [ $0$ ] ]
NA,2,22,44,0.00443129800260067,1,1,1,100.0,69.62308050255933,[ $class$ [ $0$ ] ]
NA,3,22,49,0.0027589621022343636,1,1,1,100.0,69.62025316455697,[ $class$ [ $0$ ] ]
NA,4,22,58,0.0029721977189183235,1,1,1,100.0,69.61742530019548,[ $class$ [ $0$ ] ]
NA,5,22,64,0.00248428201302886,1,1,1,100.0,69.61459690932787,[ $class$ [ $0$ ] ]
NA,6,22,67,0.002426748163998127,1,1,1,100.0,69.6117679918071,[ $class$ [ $0$ ] ]
NA,7,22,69,0.0024927747435867786,1,1,1,100.0,69.60893854748603,[ $class$ [ $0$ ] ]
NA,8,22,78,0.0024730837903916836,2,2,3,100.0,68.87978396498742,[ $p_misdemassault_arrest \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,9,22,83,0.0025025513023138046,3,3,5,100.0,71.07468802384057,[ $p_age_first_offense \ge 19.0$ [ $p_probation \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,22,86,0.002582001965492964,3,3,5,100.0,70.21514389494273,[ $p_age_first_offense \ge 19.0$ [ $p_misdem_count_person \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,22,89,0.002499448135495186,3,3,5,100.0,71.0692995529061,[ $p_age_first_offense \ge 19.0$ [ $p_probation \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,22,92,0.0028585162945091724,3,3,5,100.0,70.20959478341872,[ $p_age_first_offense \ge 19.0$ [ $p_misdem_count_person \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,22,101,0.002616437152028084,3,3,5,92.3076923076923,68.87460406185951,[ $p_misdemassault_arrest \ge 2.0$ [ $p_juv_fel_count \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,14,22,106,0.0025393557734787464,3,3,5,92.85714285714286,68.22882698220441,[ $p_age_first_offense \ge 19.5$ [ $p_current_age \ge 26.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,15,22,112,0.0026096138171851635,3,3,5,93.33333333333333,67.08907938874394,[ $p_age_first_offense \ge 19.5$ [ $p_felony_count_person \ge 3.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,16,22,115,0.002618459053337574,3,3,5,93.75,69.39707389805237,[ $p_current_age \ge 29.5$ [ $p_misdem_count_person \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,17,22,117,0.0026195980608463287,3,3,5,94.11764705882352,71.07176141658901,[ $p_probation \ge 0.5$ [ $class$ [ $0$ ] ] [ $p_current_age \ge 29.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,18,22,118,0.0027080518193542957,3,3,5,94.44444444444444,71.06906515052661,[ $p_probation \ge 0.5$ [ $class$ [ $0$ ] ] [ $p_current_age \ge 29.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,19,22,120,0.0026341723278164864,3,3,5,94.73684210526315,71.06636838180462,[ $p_current_age \ge 29.5$ [ $p_probation \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,20,22,120,0.0026777838356792927,3,3,5,95.0,71.06367111028247,[ $p_probation \ge 0.5$ [ $class$ [ $0$ ] ] [ $p_current_age \ge 29.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,22,22,125,0.002677470911294222,3,3,5,90.9090909090909,69.3892773892774,[ $p_current_age \ge 29.5$ [ $p_misdem_count_person \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,24,22,130,0.002685846760869026,3,3,5,91.66666666666666,69.38356803133452,[ $p_current_age \ge 29.5$ [ $p_misdem_count_person \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,26,22,133,0.0029845978133380413,3,3,5,92.3076923076923,69.37785654323291,[ $p_current_age \ge 29.5$ [ $p_misdem_count_person \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,28,22,137,0.0028282077983021736,3,3,5,89.28571428571429,69.38147215225301,[ $p_current_age \ge 29.5$ [ $p_misdem_count_person \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,30,22,140,0.0028212913312017918,3,3,5,86.66666666666667,66.18456657646729,[ $p_age_first_offense \ge 19.5$ [ $p_charge \ge 9.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
