fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,22,44,0.08910749200731516,1,1,1,100.0,69.62590731434952,[ $class$ [ $0$ ] ]
NA,2,22,44,0.03155696811154485,1,1,1,100.0,69.62308050255933,[ $class$ [ $0$ ] ]
NA,3,22,49,0.043267291970551014,1,1,1,100.0,69.62025316455697,[ $class$ [ $0$ ] ]
NA,4,22,58,0.03225806308910251,1,1,1,100.0,69.61742530019548,[ $class$ [ $0$ ] ]
NA,5,22,64,0.042878396809101105,1,1,1,100.0,69.61459690932787,[ $class$ [ $0$ ] ]
NA,6,22,67,0.043757880106568336,1,1,1,100.0,69.6117679918071,[ $class$ [ $0$ ] ]
NA,7,22,69,0.034361671190708876,1,1,1,100.0,69.60893854748603,[ $class$ [ $0$ ] ]
NA,8,22,78,0.04901732923462987,2,2,3,100.0,68.87978396498742,[ $p_misdemassault_arrest \ge 2.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,22,83,0.05681082000955939,3,3,5,100.0,70.2179176755448,[ $p_misdem_count_person \ge 1.5$ [ $p_age_first_offense \ge 19.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,22,86,0.05517985671758652,3,3,5,100.0,67.33724504051412,[ $p_misdem_count_person \ge 1.5$ [ $p_current_age \ge 35.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,22,89,0.058536479249596596,3,3,5,100.0,67.63226527570791,[ $p_misdem_count_person \ge 1.5$ [ $p_current_age \ge 35.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,22,92,0.06448657298460603,3,3,5,100.0,67.62925011644154,[ $p_misdem_count_person \ge 1.5$ [ $p_current_age \ge 35.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,22,101,0.07762196008116007,4,4,7,100.0,63.871809204397245,[ $p_felony_count_person \ge 0.5$ [ $p_felony_count_person \ge 1.5$ [ $p_misdemassault_arrest \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,14,22,106,0.0953160529024899,4,4,7,100.0,63.01127364203857,[ $p_felony_count_person \ge 0.5$ [ $p_misdem_count_person \ge 1.5$ [ $p_n_on_probation \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,15,22,112,0.16620614426210523,4,4,7,100.0,65.60752888557585,[ $p_felony_count_person \ge 0.5$ [ $p_misdem_count_person \ge 1.5$ [ $p_misdem_count_person \ge 5.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,16,22,115,0.3295174981467426,4,4,7,100.0,68.93113409747461,[ $p_misdem_count_person \ge 1.5$ [ $p_misdem_count_person \ge 15.5$ [ $class$ [ $0$ ] ] [ $p_current_age \ge 29.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ]
