fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,26,52,-1,-1,-1,-1,-1,-1,NA
NA,2,26,52,-1,-1,-1,-1,-1,-1,NA
NA,3,26,55,-1,-1,-1,-1,-1,-1,NA
NA,4,26,58,-1,-1,-1,-1,-1,-1,NA
NA,5,26,64,-1,-1,-1,-1,-1,-1,NA
NA,6,26,72,-1,-1,-1,-1,-1,-1,NA
NA,7,26,73,-1,-1,-1,-1,-1,-1,NA
NA,8,26,73,-1,-1,-1,-1,-1,-1,NA
NA,9,26,73,-1,-1,-1,-1,-1,-1,NA
NA,10,26,73,-1,-1,-1,-1,-1,-1,NA
NA,11,26,74,-1,-1,-1,-1,-1,-1,NA
NA,12,26,74,-1,-1,-1,-1,-1,-1,NA
NA,13,26,75,-1,-1,-1,-1,-1,-1,NA
NA,14,26,76,-1,-1,-1,-1,-1,-1,NA
NA,15,26,76,-1,-1,-1,-1,-1,-1,NA
NA,16,26,77,-1,-1,-1,-1,-1,-1,NA
NA,17,26,77,-1,-1,-1,-1,-1,-1,NA
NA,18,26,78,-1,-1,-1,-1,-1,-1,NA
NA,19,26,78,-1,-1,-1,-1,-1,-1,NA
NA,20,26,78,-1,-1,-1,-1,-1,-1,NA
NA,22,26,78,-1,-1,-1,-1,-1,-1,NA
NA,24,26,78,-1,-1,-1,-1,-1,-1,NA
NA,26,26,78,-1,-1,-1,-1,-1,-1,NA
NA,28,26,78,-1,-1,-1,-1,-1,-1,NA
NA,30,26,78,-1,-1,-1,-1,-1,-1,NA
NA,32,26,78,-1,-1,-1,-1,-1,-1,NA
NA,34,26,78,-1,-1,-1,-1,-1,-1,NA
NA,36,26,79,-1,-1,-1,-1,-1,-1,NA
NA,38,26,79,-1,-1,-1,-1,-1,-1,NA
NA,40,26,79,-1,-1,-1,-1,-1,-1,NA
NA,45,26,79,-1,-1,-1,-1,-1,-1,NA
NA,50,26,79,-1,-1,-1,-1,-1,-1,NA
NA,55,26,79,-1,-1,-1,-1,-1,-1,NA
NA,60,26,79,-1,-1,-1,-1,-1,-1,NA
NA,65,26,79,-1,-1,-1,-1,-1,-1,NA
NA,70,26,79,-1,-1,-1,-1,-1,-1,NA
NA,75,26,79,-1,-1,-1,-1,-1,-1,NA
NA,80,26,79,-1,-1,-1,-1,-1,-1,NA
NA,85,26,80,-1,-1,-1,-1,-1,-1,NA
NA,90,26,80,-1,-1,-1,-1,-1,-1,NA
NA,100,26,80,-1,-1,-1,-1,-1,-1,NA
