fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,23,46,0.2096108039841056,1,1,1,100.0,46.44644644644645,[ $class$ [ $0$ ] ]
NA,2,23,46,0.002079193014651537,2,2,3,100.0,57.71543086172345,[ $NumTrades60Ever2DerogPubRec \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,23,60,0.00836267787963152,2,2,3,100.0,59.37813440320963,[ $PercentTradesWBalance \ge 41.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,23,74,0.02652133395895362,2,2,3,100.0,59.337349397590366,[ $PercentTradesWBalance \ge 41.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,23,89,0.3478736011311412,2,2,3,100.0,57.98994974874372,[ $PercentTradesWBalance \ge 39.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,23,100,3.1414147317409515,2,2,3,100.0,60.26156941649899,[ $PercentTradesWBalance \ge 47.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,23,115,15.03162971464917,2,2,3,100.0,60.22155085599194,[ $PercentTradesWBalance \ge 47.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,23,125,37.84223270183429,3,3,5,100.0,57.056451612903224,[ $PercentTradesWBalance \ge 34.0$ [ $NumSatisfactoryTrades \ge 33.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,9,23,134,82.80151375895366,3,3,5,100.0,58.32492431886983,[ $PercentTradesWBalance \ge 52.0$ [ $class$ [ $1$ ] ] [ $MSinceOldestTradeOpen \ge 277.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,10,23,144,153.67118929279968,3,4,7,100.0,59.59595959595959,[ $ExternalRiskEstimate \ge 73.5$ [ $ExternalRiskEstimate \ge 85.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $NumSatisfactoryTrades \ge 33.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,11,23,156,272.5979562033899,3,4,7,100.0,59.555106167846304,[ $ExternalRiskEstimate \ge 73.5$ [ $ExternalRiskEstimate \ge 85.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $NumSatisfactoryTrades \ge 33.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,12,23,163,300.0733471070416,3,4,7,100.0,54.554655870445345,[ $ExternalRiskEstimate \ge 73.5$ [ $AverageMInFile \ge 77.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $NumSatisfactoryTrades \ge 33.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,13,23,186,300.0679698958993,3,4,7,100.0,55.42046605876393,[ $MSinceOldestTradeOpen \ge 168.5$ [ $NumSatisfactoryTrades \ge 33.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 52.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,14,23,186,300.05423717712983,3,4,7,100.0,55.375253549695735,[ $MSinceOldestTradeOpen \ge 168.5$ [ $NumSatisfactoryTrades \ge 33.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 52.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,15,23,195,-1,-1,-1,-1,-1,-1,NA
NA,16,23,206,-1,-1,-1,-1,-1,-1,NA
NA,17,23,216,-1,-1,-1,-1,-1,-1,NA
NA,18,23,229,-1,-1,-1,-1,-1,-1,NA
NA,19,23,229,-1,-1,-1,-1,-1,-1,NA
NA,20,23,236,-1,-1,-1,-1,-1,-1,NA
NA,22,23,248,-1,-1,-1,-1,-1,-1,NA
NA,24,23,263,-1,-1,-1,-1,-1,-1,NA
NA,26,23,280,-1,-1,-1,-1,-1,-1,NA
NA,28,23,305,-1,-1,-1,-1,-1,-1,NA
NA,30,23,320,-1,-1,-1,-1,-1,-1,NA
NA,32,23,329,-1,-1,-1,-1,-1,-1,NA
NA,34,23,346,-1,-1,-1,-1,-1,-1,NA
NA,36,23,360,-1,-1,-1,-1,-1,-1,NA
NA,38,23,371,-1,-1,-1,-1,-1,-1,NA
NA,40,23,383,-1,-1,-1,-1,-1,-1,NA
NA,45,23,410,-1,-1,-1,-1,-1,-1,NA
NA,50,23,434,-1,-1,-1,-1,-1,-1,NA
NA,55,23,458,-1,-1,-1,-1,-1,-1,NA
NA,60,23,486,-1,-1,-1,-1,-1,-1,NA
NA,65,23,508,-1,-1,-1,-1,-1,-1,NA
NA,70,23,538,-1,-1,-1,-1,-1,-1,NA
NA,75,23,558,-1,-1,-1,-1,-1,-1,NA
NA,80,23,582,-1,-1,-1,-1,-1,-1,NA
NA,85,23,601,-1,-1,-1,-1,-1,-1,NA
NA,90,23,616,-1,-1,-1,-1,-1,-1,NA
NA,100,23,655,-1,-1,-1,-1,-1,-1,NA
NA,110,23,683,-1,-1,-1,-1,-1,-1,NA
NA,120,23,716,-1,-1,-1,-1,-1,-1,NA
NA,130,23,748,-1,-1,-1,-1,-1,-1,NA
NA,140,23,777,-1,-1,-1,-1,-1,-1,NA
NA,150,23,800,-1,-1,-1,-1,-1,-1,NA
NA,160,23,817,-1,-1,-1,-1,-1,-1,NA
NA,170,23,827,-1,-1,-1,-1,-1,-1,NA
NA,180,23,844,-1,-1,-1,-1,-1,-1,NA
NA,200,23,871,-1,-1,-1,-1,-1,-1,NA
NA,220,23,913,-1,-1,-1,-1,-1,-1,NA
NA,240,23,937,-1,-1,-1,-1,-1,-1,NA
NA,260,23,966,-1,-1,-1,-1,-1,-1,NA
NA,280,23,992,-1,-1,-1,-1,-1,-1,NA
NA,300,23,1021,-1,-1,-1,-1,-1,-1,NA
NA,325,23,1055,-1,-1,-1,-1,-1,-1,NA
NA,350,23,1083,-1,-1,-1,-1,-1,-1,NA
NA,375,23,1100,-1,-1,-1,-1,-1,-1,NA
NA,400,23,1122,-1,-1,-1,-1,-1,-1,NA
NA,425,23,1148,-1,-1,-1,-1,-1,-1,NA
NA,450,23,1165,-1,-1,-1,-1,-1,-1,NA
NA,475,23,1182,-1,-1,-1,-1,-1,-1,NA
NA,500,23,1191,-1,-1,-1,-1,-1,-1,NA
NA,550,23,1221,-1,-1,-1,-1,-1,-1,NA
NA,600,23,1250,-1,-1,-1,-1,-1,-1,NA
NA,650,23,1266,-1,-1,-1,-1,-1,-1,NA
NA,700,23,1284,-1,-1,-1,-1,-1,-1,NA
NA,750,23,1311,-1,-1,-1,-1,-1,-1,NA
NA,800,23,1335,-1,-1,-1,-1,-1,-1,NA
NA,850,23,1357,-1,-1,-1,-1,-1,-1,NA
