fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,-1,-1,-1,-1,-1,-1,NA
NA,2,4,8,-1,-1,-1,-1,-1,-1,NA
NA,3,4,12,-1,-1,-1,-1,-1,-1,NA
NA,4,4,16,-1,-1,-1,-1,-1,-1,NA
NA,5,4,19,-1,-1,-1,-1,-1,-1,NA
NA,6,4,23,-1,-1,-1,-1,-1,-1,NA
NA,7,4,26,-1,-1,-1,-1,-1,-1,NA
NA,8,4,30,-1,-1,-1,-1,-1,-1,NA
NA,9,4,33,-1,-1,-1,-1,-1,-1,NA
NA,10,4,35,-1,-1,-1,-1,-1,-1,NA
NA,11,4,37,-1,-1,-1,-1,-1,-1,NA
NA,12,4,40,-1,-1,-1,-1,-1,-1,NA
NA,13,4,41,-1,-1,-1,-1,-1,-1,NA
NA,14,4,43,-1,-1,-1,-1,-1,-1,NA
NA,15,4,43,-1,-1,-1,-1,-1,-1,NA
NA,16,4,45,-1,-1,-1,-1,-1,-1,NA
NA,17,4,45,-1,-1,-1,-1,-1,-1,NA
NA,18,4,46,-1,-1,-1,-1,-1,-1,NA
NA,19,4,48,-1,-1,-1,-1,-1,-1,NA
NA,20,4,51,-1,-1,-1,-1,-1,-1,NA
NA,22,4,54,-1,-1,-1,-1,-1,-1,NA
NA,24,4,56,-1,-1,-1,-1,-1,-1,NA
NA,26,4,60,-1,-1,-1,-1,-1,-1,NA
NA,28,4,63,-1,-1,-1,-1,-1,-1,NA
NA,30,4,66,-1,-1,-1,-1,-1,-1,NA
NA,32,4,67,-1,-1,-1,-1,-1,-1,NA
NA,34,4,68,-1,-1,-1,-1,-1,-1,NA
NA,36,4,71,-1,-1,-1,-1,-1,-1,NA
NA,38,4,74,-1,-1,-1,-1,-1,-1,NA
NA,40,4,76,-1,-1,-1,-1,-1,-1,NA
NA,45,4,82,-1,-1,-1,-1,-1,-1,NA
NA,50,4,88,-1,-1,-1,-1,-1,-1,NA
NA,55,4,93,-1,-1,-1,-1,-1,-1,NA
NA,60,4,97,-1,-1,-1,-1,-1,-1,NA
NA,65,4,98,-1,-1,-1,-1,-1,-1,NA
NA,70,4,102,-1,-1,-1,-1,-1,-1,NA
NA,75,4,104,-1,-1,-1,-1,-1,-1,NA
NA,80,4,105,-1,-1,-1,-1,-1,-1,NA
NA,85,4,107,-1,-1,-1,-1,-1,-1,NA
NA,90,4,107,-1,-1,-1,-1,-1,-1,NA
NA,100,4,109,-1,-1,-1,-1,-1,-1,NA
NA,110,4,112,-1,-1,-1,-1,-1,-1,NA
NA,120,4,118,-1,-1,-1,-1,-1,-1,NA
NA,130,4,122,-1,-1,-1,-1,-1,-1,NA
NA,140,4,123,-1,-1,-1,-1,-1,-1,NA
NA,150,4,123,-1,-1,-1,-1,-1,-1,NA
