fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.002183025237172842,1,1,1,100.0,66.44295302013423,[ $class$ [ $0$ ] ]
NA,2,4,8,0.0020300159230828285,1,1,1,100.0,66.21621621621621,[ $class$ [ $0$ ] ]
NA,3,4,12,0.002092428971081972,2,2,3,100.0,78.2312925170068,[ $sepal_width \ge 3.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,4,16,0.0022312947548925877,2,2,3,100.0,100.0,[ $petal_length \ge 2.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,4,19,0.0023424518294632435,2,2,3,100.0,85.51724137931035,[ $sepal_length \ge 5.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,4,23,0.0022682566195726395,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,4,26,0.002256430219858885,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,4,30,0.002239258959889412,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,4,33,0.002301461063325405,2,2,3,100.0,100.0,[ $petal_width \ge 0.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,4,35,0.002355999778956175,2,2,3,100.0,85.0,[ $sepal_length \ge 5.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,11,4,37,0.0022269687615334988,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,12,4,40,0.0024682017974555492,2,2,3,100.0,100.0,[ $petal_width \ge 0.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,13,4,41,0.0022883140482008457,2,2,3,100.0,81.02189781021897,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,14,4,43,0.0023614177480340004,2,2,3,100.0,80.88235294117648,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
