fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.15557879069820046,1,1,1,100.0,66.44295302013423,[ $class$ [ $0$ ] ]
NA,2,4,8,0.001712094061076641,1,1,1,100.0,66.21621621621621,[ $class$ [ $0$ ] ]
NA,3,4,12,0.00173621391877532,2,2,3,100.0,85.71428571428571,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,4,16,0.002433472778648138,2,2,3,100.0,85.61643835616438,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,4,19,0.0033759307116270065,2,2,3,100.0,85.51724137931035,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,4,23,0.0064438278786838055,2,2,3,100.0,85.41666666666666,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,4,26,0.010521350894123316,2,2,3,100.0,85.3146853146853,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,4,30,0.029717152006924152,2,2,3,100.0,85.2112676056338,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,9,4,33,0.07135537499561906,2,2,3,100.0,85.1063829787234,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,10,4,35,0.12491242028772831,2,2,3,100.0,85.0,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,11,4,37,0.1867002653889358,2,2,3,100.0,84.89208633093526,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,12,4,40,0.27742781583219767,2,2,3,100.0,84.78260869565217,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,13,4,41,0.36036876076832414,2,2,3,100.0,84.67153284671532,[ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
