fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.023608192335814238,1,1,1,100.0,66.44295302013423,[ $class$ [ $0$ ] ]
NA,2,4,8,0.029289163649082184,1,1,1,100.0,66.21621621621621,[ $class$ [ $0$ ] ]
NA,3,4,12,0.025175062008202076,2,2,3,100.0,78.2312925170068,[ $sepal_width \ge 3.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,4,16,0.04097159206867218,2,2,3,100.0,73.97260273972603,[ $sepal_width \ge 3.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,4,19,0.06093204626813531,2,2,3,100.0,78.62068965517241,[ $sepal_width \ge 3.15$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,4,23,0.040333416778594255,2,2,3,100.0,81.94444444444444,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,4,26,0.04757294291630387,2,2,3,100.0,81.81818181818183,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,4,30,0.05755086289718747,2,2,3,100.0,81.69014084507043,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,4,33,0.029747940134257078,2,2,3,100.0,81.56028368794325,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,4,35,0.055514255072921515,2,2,3,100.0,81.42857142857143,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,11,4,37,0.03070513578131795,2,2,3,100.0,81.29496402877699,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,12,4,40,0.045944734942168,2,2,3,100.0,81.15942028985508,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,13,4,41,0.04255156498402357,2,2,3,100.0,81.02189781021897,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,14,4,43,0.06946906819939613,2,2,3,100.0,80.88235294117648,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,15,4,43,0.042381871957331896,2,2,3,100.0,80.74074074074075,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,16,4,45,0.04156874492764473,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,17,4,45,0.047567280009388924,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,18,4,46,0.030247958842664957,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,19,4,48,0.032434731256216764,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,20,4,51,0.036037944722920656,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,22,4,54,0.037823154125362635,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,24,4,56,0.039993747137486935,2,2,3,100.0,100.0,[ $petal_length \ge 2.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,26,4,60,0.0405535981990397,2,2,3,100.0,100.0,[ $petal_length \ge 2.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,28,4,63,0.043756367173045874,2,2,3,100.0,100.0,[ $petal_length \ge 2.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,30,4,66,0.05432303994894028,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,32,4,67,0.049673771020025015,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,34,4,68,0.06559044728055596,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,36,4,71,0.05336771113798022,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,38,4,74,0.053448429331183434,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,40,4,76,0.05180340399965644,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,45,4,82,0.06390156783163548,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,50,4,88,0.10628224955871701,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,55,4,93,0.08423881186172366,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,60,4,97,0.12154922261834145,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,65,4,98,0.11034006392583251,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,70,4,102,0.11700860736891627,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,75,4,104,0.11640254687517881,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,80,4,105,0.13652154989540577,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,85,4,107,0.15437510702759027,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,90,4,107,0.17394369095563889,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,100,4,109,0.17225108575075865,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,110,4,112,0.16070929216220975,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,120,4,118,0.21701065683737397,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,130,4,122,0.21581767685711384,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,140,4,123,0.24591865995898843,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
