fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,-1,-1,-1,-1,-1,-1,NA
NA,2,4,8,-1,-1,-1,-1,-1,-1,NA
NA,3,4,12,-1,-1,-1,-1,-1,-1,NA
NA,4,4,16,-1,-1,-1,-1,-1,-1,NA
NA,5,4,19,-1,-1,-1,-1,-1,-1,NA
NA,6,4,23,-1,-1,-1,-1,-1,-1,NA
NA,7,4,26,-1,-1,-1,-1,-1,-1,NA
NA,8,4,30,-1,-1,-1,-1,-1,-1,NA
NA,9,4,33,-1,-1,-1,-1,-1,-1,NA
NA,10,4,35,-1,-1,-1,-1,-1,-1,NA
NA,11,4,37,-1,-1,-1,-1,-1,-1,NA
NA,12,4,40,-1,-1,-1,-1,-1,-1,NA
NA,13,4,41,-1,-1,-1,-1,-1,-1,NA
NA,14,4,43,-1,-1,-1,-1,-1,-1,NA
NA,15,4,43,-1,-1,-1,-1,-1,-1,NA
NA,16,4,45,-1,-1,-1,-1,-1,-1,NA
NA,17,4,45,0.07113306503742933,1,1,1,76.47058823529412,65.41353383458647,[ $class$ [ $0$ ] ]
NA,18,4,46,0.06706133997067809,1,1,1,77.77777777777779,65.15151515151516,[ $class$ [ $0$ ] ]
NA,19,4,48,0.07388309901580215,1,1,1,73.68421052631578,65.64885496183206,[ $class$ [ $0$ ] ]
NA,20,4,51,0.0714507456868887,1,1,1,70.0,66.15384615384615,[ $class$ [ $0$ ] ]
NA,22,4,54,0.07238961104303598,1,1,1,72.72727272727273,65.625,[ $class$ [ $0$ ] ]
NA,24,4,56,0.07527735782787204,1,1,1,66.66666666666666,66.66666666666666,[ $class$ [ $0$ ] ]
NA,26,4,60,0.08069361699745059,1,1,1,65.38461538461539,66.93548387096774,[ $class$ [ $0$ ] ]
NA,28,4,63,0.08260128507390618,1,1,1,64.28571428571429,67.21311475409836,[ $class$ [ $0$ ] ]
NA,30,4,66,0.08248639991506934,1,1,1,63.33333333333333,67.5,[ $class$ [ $0$ ] ]
NA,32,4,67,0.0832075197249651,1,1,1,65.625,66.94915254237289,[ $class$ [ $0$ ] ]
NA,34,4,68,0.08714718511328101,1,1,1,64.70588235294117,67.24137931034483,[ $class$ [ $0$ ] ]
NA,36,4,71,0.08547756727784872,1,1,1,66.66666666666666,66.66666666666666,[ $class$ [ $0$ ] ]
NA,38,4,74,0.09060991881415248,1,1,1,65.78947368421053,66.96428571428571,[ $class$ [ $0$ ] ]
NA,40,4,76,0.09519914397969842,1,1,1,67.5,66.36363636363637,[ $class$ [ $0$ ] ]
NA,45,4,82,0.10293021192774177,1,1,1,64.44444444444444,67.61904761904762,[ $class$ [ $0$ ] ]
NA,50,4,88,0.10874100821092725,1,1,1,68.0,66.0,[ $class$ [ $0$ ] ]
NA,55,4,93,0.1180820451118052,1,1,1,70.9090909090909,64.21052631578948,[ $class$ [ $0$ ] ]
NA,60,4,97,0.12672344082966447,1,1,1,73.33333333333333,62.22222222222222,[ $class$ [ $0$ ] ]
NA,65,4,98,0.1320009520277381,1,1,1,73.84615384615385,61.1764705882353,[ $class$ [ $0$ ] ]
NA,70,4,102,0.14167745457962155,1,1,1,72.85714285714285,61.25000000000001,[ $class$ [ $0$ ] ]
NA,75,4,104,0.14870093390345573,1,1,1,72.0,61.33333333333333,[ $class$ [ $0$ ] ]
NA,80,4,105,0.1558176651597023,1,1,1,71.25,61.42857142857143,[ $class$ [ $0$ ] ]
NA,85,4,107,0.1686417837627232,1,1,1,71.76470588235294,60.0,[ $class$ [ $0$ ] ]
NA,90,4,107,0.17433581687510014,1,1,1,71.11111111111111,60.0,[ $class$ [ $0$ ] ]
NA,100,4,109,0.18755787564441562,1,1,1,69.0,62.0,[ $class$ [ $0$ ] ]
NA,110,4,112,0.19912167405709624,1,1,1,67.27272727272727,65.0,[ $class$ [ $0$ ] ]
NA,120,4,118,0.24176486115902662,1,1,1,66.66666666666666,66.66666666666666,[ $class$ [ $0$ ] ]
NA,130,4,122,0.25491327000781894,1,1,1,66.15384615384615,70.0,[ $class$ [ $0$ ] ]
NA,140,4,123,0.26220400212332606,1,1,1,67.14285714285714,60.0,[ $class$ [ $0$ ] ]
