fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.15276369266211987,1,1,1,100.0,66.44295302013423,[ $class$ [ $0$ ] ]
NA,2,4,8,0.0017478400841355324,2,2,3,100.0,70.94594594594594,[ $petal_width \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,3,4,12,0.0020733349956572056,2,2,3,100.0,53.74149659863946,[ $sepal_length \ge 5.9$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,4,16,0.0027033821679651737,2,2,3,100.0,70.54794520547945,[ $sepal_width \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,4,19,0.003623821772634983,2,2,3,100.0,70.34482758620689,[ $sepal_width \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,4,23,0.008182595949620008,2,2,3,100.0,70.13888888888889,[ $sepal_width \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,4,26,0.012820904143154621,2,2,3,100.0,69.93006993006993,[ $sepal_width \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,4,30,0.03879678715020418,3,3,5,100.0,82.3943661971831,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.9$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,9,4,33,0.0863256067968905,3,3,5,100.0,82.26950354609929,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,4,35,0.14287224365398288,3,3,5,100.0,82.14285714285714,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,4,37,0.23780917841941118,3,3,5,100.0,82.01438848920863,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,4,40,0.39712274400517344,3,3,5,100.0,81.88405797101449,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,4,41,0.48284648125991225,3,3,5,100.0,81.75182481751825,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,14,4,43,0.6819345098920166,3,3,5,100.0,81.61764705882352,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,15,4,43,0.691316420212388,3,3,5,100.0,81.48148148148148,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,16,4,45,0.9392052288167179,3,3,5,100.0,81.34328358208955,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,17,4,45,0.9655035291798413,3,3,5,100.0,81.203007518797,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,18,4,46,1.3274881760589778,3,4,7,100.0,87.12121212121212,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,19,4,48,1.6426607547327876,3,4,7,100.0,87.02290076335878,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,20,4,51,2.068667594343424,3,4,7,100.0,86.92307692307692,[ $sepal_length \ge 5.65$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,22,4,54,3.097110857721418,3,4,7,100.0,89.84375,[ $sepal_length \ge 5.55$ [ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,24,4,56,3.5372713012620807,3,4,7,100.0,89.68253968253968,[ $sepal_length \ge 5.55$ [ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,26,4,60,4.812130990903825,4,6,11,100.0,90.32258064516128,[ $sepal_length \ge 5.55$ [ $sepal_length \ge 6.15$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,28,4,63,6.2092705820687115,4,6,11,100.0,90.1639344262295,[ $sepal_length \ge 5.55$ [ $sepal_length \ge 6.15$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,30,4,66,9.248844092246145,4,6,11,100.0,90.0,[ $sepal_length \ge 5.55$ [ $sepal_length \ge 6.15$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,32,4,67,10.397254423703998,4,6,11,100.0,92.37288135593221,[ $sepal_length \ge 5.55$ [ $sepal_length \ge 6.15$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,34,4,68,11.410996892955154,4,6,11,100.0,92.24137931034483,[ $sepal_length \ge 5.55$ [ $sepal_length \ge 6.15$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,36,4,71,14.607644562143832,4,6,11,100.0,92.10526315789474,[ $sepal_length \ge 5.55$ [ $sepal_length \ge 6.15$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,38,4,74,18.31418288592249,4,8,15,100.0,86.60714285714286,[ $sepal_length \ge 5.75$ [ $sepal_width \ge 2.6500000000000004$ [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 6.05$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,40,4,76,22.050595896784216,4,8,15,100.0,86.36363636363636,[ $sepal_length \ge 5.75$ [ $sepal_width \ge 2.6500000000000004$ [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 6.05$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,45,4,82,32.93621692014858,4,8,15,100.0,85.71428571428571,[ $sepal_length \ge 5.75$ [ $sepal_width \ge 2.6500000000000004$ [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 6.05$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,50,4,88,49.38582704681903,4,8,15,100.0,86.0,[ $sepal_length \ge 5.75$ [ $sepal_width \ge 2.6500000000000004$ [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,55,4,93,67.77318093599752,4,8,15,100.0,87.36842105263159,[ $sepal_length \ge 5.75$ [ $sepal_width \ge 2.6500000000000004$ [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_width \ge 2.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,60,4,97,92.29254071507603,4,8,15,100.0,91.11111111111111,[ $sepal_length \ge 5.75$ [ $petal_width \ge 1.55$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,65,4,98,101.56274245399982,4,8,15,100.0,90.58823529411765,[ $sepal_length \ge 5.75$ [ $petal_width \ge 1.55$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,70,4,102,122.70966282300651,4,8,15,100.0,90.0,[ $sepal_length \ge 5.75$ [ $petal_width \ge 1.55$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,75,4,104,137.52317381976172,4,8,15,100.0,92.0,[ $sepal_length \ge 5.75$ [ $petal_width \ge 1.55$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,80,4,105,149.72918991884217,4,8,15,100.0,91.42857142857143,[ $sepal_length \ge 5.75$ [ $petal_width \ge 1.55$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.45$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,85,4,107,166.44172363588586,4,8,15,100.0,90.76923076923077,[ $sepal_length \ge 5.75$ [ $petal_width \ge 1.55$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.45$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,90,4,107,172.75288529880345,4,8,15,100.0,90.0,[ $sepal_length \ge 5.75$ [ $petal_width \ge 1.55$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_width \ge 2.8499999999999996$ [ $petal_length \ge 2.45$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,100,4,109,210.08282735804096,4,8,15,100.0,92.0,[ $petal_width \ge 1.55$ [ $sepal_length \ge 6.05$ [ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 2.45$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
