fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.002177008893340826,1,1,1,100.0,66.44295302013423,[ $class$ [ $0$ ] ]
NA,2,4,8,0.0019468357786536217,2,2,3,100.0,70.94594594594594,[ $petal_width \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,4,12,0.002217311877757311,2,2,3,100.0,70.74829931972789,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,4,16,0.002487831749022007,2,2,3,100.0,70.54794520547945,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,4,19,0.0027996450662612915,2,2,3,100.0,70.34482758620689,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,4,23,0.003227000590413809,2,2,3,100.0,70.13888888888889,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,4,26,0.003551539033651352,2,2,3,100.0,69.93006993006993,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,4,30,0.014163024723529816,3,3,5,100.0,82.3943661971831,[ $petal_length \ge 4.9$ [ $class$ [ $0$ ] ] [ $sepal_width \ge 3.2$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,9,4,33,0.011106334161013365,3,3,5,100.0,78.72340425531915,[ $sepal_length \ge 5.9$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,10,4,35,0.012569298036396503,3,3,5,100.0,81.42857142857143,[ $sepal_width \ge 3.2$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,4,37,0.012339778244495392,3,3,5,100.0,78.41726618705036,[ $petal_length \ge 4.949999999999999$ [ $sepal_length \ge 5.9$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
