fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.002153721172362566,1,1,1,0.0,67.11409395973155,[ $class$ [ $0$ ] ]
NA,2,4,8,0.0021079378202557564,2,2,3,100.0,37.16216216216216,[ $petal_width \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,3,4,12,0.002243251074105501,2,2,3,100.0,89.79591836734694,[ $petal_length \ge 4.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,4,16,0.002099440898746252,2,2,3,100.0,89.72602739726028,[ $petal_length \ge 4.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,4,19,0.0023628068156540394,2,2,3,100.0,89.65517241379311,[ $petal_length \ge 4.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,4,23,0.0022240658290684223,2,2,3,100.0,84.72222222222221,[ $petal_width \ge 1.4$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,4,26,0.002195664681494236,2,2,3,100.0,89.5104895104895,[ $petal_length \ge 4.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,4,30,0.0021508890204131603,2,2,3,100.0,95.77464788732394,[ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,9,4,33,0.0022111241705715656,2,2,3,100.0,94.32624113475178,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,10,4,35,0.00221594562754035,2,2,3,100.0,94.28571428571428,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,11,4,37,0.0021409005858004093,2,2,3,100.0,94.24460431654677,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,12,4,40,0.002327634021639824,2,2,3,100.0,94.20289855072464,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,13,4,41,0.0023161773569881916,2,2,3,100.0,94.16058394160584,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,14,4,43,0.0024238601326942444,2,2,3,100.0,94.11764705882352,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,15,4,43,0.0022599920630455017,2,2,3,100.0,94.07407407407408,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,16,4,45,0.0023838449269533157,2,2,3,100.0,94.02985074626866,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,17,4,45,0.005180109292268753,2,2,3,100.0,93.98496240601504,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,18,4,46,0.002433039713650942,2,2,3,100.0,93.93939393939394,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,19,4,48,0.002353901043534279,2,2,3,100.0,93.89312977099237,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,20,4,51,0.0023990748450160027,2,2,3,100.0,93.84615384615384,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,22,4,54,0.002374596893787384,2,2,3,100.0,94.53125,[ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,24,4,56,0.002764954697340727,2,2,3,100.0,94.44444444444444,[ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,26,4,60,0.0024219630286097527,3,3,5,96.15384615384616,76.61290322580645,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.45$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,28,4,63,0.002269566059112549,3,3,5,96.42857142857143,95.08196721311475,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,30,4,66,0.002442798111587763,3,3,5,96.66666666666667,95.0,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,32,4,67,0.002369169145822525,3,3,5,96.875,78.8135593220339,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.6$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,34,4,68,0.0023080240935087204,3,3,5,97.05882352941177,75.0,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.45$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,36,4,71,0.0023144586011767387,3,3,5,97.22222222222221,81.57894736842105,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,38,4,74,0.0022765807807445526,3,3,5,100.0,96.42857142857143,[ $petal_width \ge 1.7000000000000002$ [ $petal_length \ge 5.3$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,40,4,76,0.002279744017869234,3,3,5,100.0,96.36363636363636,[ $petal_width \ge 1.7000000000000002$ [ $petal_length \ge 5.3$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,45,4,82,0.0023029171861708164,3,3,5,100.0,96.19047619047619,[ $petal_width \ge 1.7000000000000002$ [ $petal_length \ge 5.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,50,4,88,0.0022906577214598656,3,3,5,96.0,96.0,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,55,4,93,0.00243968702852726,3,3,5,96.36363636363636,95.78947368421052,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.7000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,60,4,97,0.0024321279488503933,3,3,5,98.33333333333333,97.77777777777777,[ $petal_width \ge 1.65$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,65,4,98,0.002372478134930134,3,3,5,96.92307692307692,95.29411764705881,[ $petal_length \ge 4.75$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,70,4,102,0.00254259305074811,3,3,5,97.14285714285714,95.0,[ $petal_length \ge 4.75$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,75,4,104,0.002390865236520767,3,3,5,98.66666666666667,97.33333333333334,[ $petal_width \ge 1.65$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,80,4,105,0.00241150613874197,3,3,5,98.75,97.14285714285714,[ $petal_width \ge 1.65$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,85,4,107,0.0024348399601876736,3,3,5,98.82352941176471,96.92307692307692,[ $petal_width \ge 1.65$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,90,4,107,0.0024672960862517357,3,3,5,98.88888888888889,96.66666666666667,[ $petal_width \ge 1.65$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,100,4,109,0.0026230458170175552,3,3,5,96.0,94.0,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,110,4,112,0.002603969071060419,3,3,5,96.36363636363636,92.5,[ $petal_length \ge 4.75$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
