fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.0020787175744771957,1,1,1,0.0,67.11409395973155,[ $class$ [ $0$ ] ]
NA,2,4,8,0.0019197817891836166,2,2,3,100.0,37.16216216216216,[ $petal_width \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,3,4,12,0.002115516923367977,2,2,3,100.0,95.91836734693877,[ $petal_width \ge 1.7$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,4,16,0.0023761000484228134,2,2,3,100.0,84.93150684931507,[ $petal_width \ge 1.4$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,4,19,0.002549396362155676,2,2,3,100.0,84.82758620689656,[ $petal_width \ge 1.4$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,4,23,0.0029000258073210716,2,2,3,100.0,89.58333333333334,[ $petal_length \ge 4.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,4,26,0.003256899304687977,2,2,3,100.0,84.61538461538461,[ $petal_width \ge 1.4$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,4,30,0.003693530336022377,2,2,3,100.0,95.07042253521126,[ $petal_length \ge 4.9$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,9,4,33,0.004129333887249231,2,2,3,100.0,94.32624113475178,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,10,4,35,0.004575100261718035,2,2,3,100.0,95.71428571428572,[ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,11,4,37,0.004683583974838257,2,2,3,100.0,94.24460431654677,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,12,4,40,0.005361402872949839,2,2,3,100.0,94.20289855072464,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,13,4,41,0.0057882037945091724,2,2,3,100.0,94.16058394160584,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,14,4,43,0.006598751060664654,2,2,3,100.0,94.11764705882352,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,15,4,43,0.006567095872014761,2,2,3,100.0,94.07407407407408,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,16,4,45,0.0071687158197164536,2,2,3,100.0,94.02985074626866,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,17,4,45,0.009083247277885675,2,2,3,100.0,93.98496240601504,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,18,4,46,0.007694968022406101,2,2,3,100.0,93.93939393939394,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,19,4,48,0.008170772809535265,2,2,3,100.0,93.89312977099237,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,20,4,51,0.009271579794585705,2,2,3,100.0,93.84615384615384,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,22,4,54,0.01021876372396946,2,2,3,100.0,94.53125,[ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,24,4,56,0.011137682013213634,2,2,3,100.0,94.44444444444444,[ $petal_length \ge 4.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
