fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,10,20,0.002763696014881134,1,1,1,100.0,61.56156156156156,[ $class$ [ $0$ ] ]
NA,2,10,20,0.0024937689304351807,1,1,1,100.0,61.523046092184366,[ $class$ [ $0$ ] ]
NA,3,10,26,0.0025474741123616695,2,2,3,100.0,65.89769307923771,[ $dum21plus \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,10,30,0.0029761390760540962,2,2,3,100.0,65.86345381526104,[ $dum21plus \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,10,33,0.002567943185567856,2,2,3,100.0,65.82914572864321,[ $dum21plus \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,10,39,0.0025043063797056675,2,2,3,100.0,65.79476861167002,[ $dum21plus \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,10,43,0.0025424519553780556,2,2,3,100.0,61.631419939577036,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,10,46,0.002624447923153639,2,2,3,100.0,61.59274193548387,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,9,10,49,0.0026399330236017704,2,2,3,100.0,61.5539858728557,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,10,10,52,0.002540085930377245,3,3,5,90.0,61.61616161616161,[ $dichtheid \ge 1.7917226625$ [ $leeftijd \ge 22.755430785$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,11,10,56,0.002547222189605236,3,3,5,90.9090909090909,65.92517694641052,[ $dichtheid \ge 1.0883149054999999$ [ $leeftijd \ge 22.755430785$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
