fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,10,20,0.1544194370508194,1,1,1,100.0,61.56156156156156,[ $class$ [ $0$ ] ]
NA,2,10,20,0.001860115211457014,1,1,1,100.0,61.523046092184366,[ $class$ [ $0$ ] ]
NA,3,10,26,0.0023672878742218018,2,2,3,100.0,55.26579739217653,[ $leeftijd \ge 28.98562628$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,10,30,0.005858915857970715,2,2,3,100.0,63.35341365461847,[ $dichtheid \ge 1.4477360675$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,10,33,0.007509646937251091,2,2,3,100.0,63.31658291457286,[ $dichtheid \ge 1.4477360675$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,10,39,0.03519972041249275,2,2,3,100.0,61.77062374245473,[ $dichtheid \ge 1.6750464385$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,10,43,0.0868533318862319,2,2,3,100.0,61.631419939577036,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,10,46,0.16490336507558823,2,2,3,100.0,61.59274193548387,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,10,49,0.3753821332938969,2,2,3,100.0,61.5539858728557,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,10,52,0.9458732469938695,3,4,7,100.0,59.696969696969695,[ $cgebland \ge 2.0$ [ $cgebland \ge 4.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $leeftijd \ge 22.755430785$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,11,10,56,1.834250209853053,3,4,7,100.0,63.80182002022244,[ $leeftijd \ge 22.755430785$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,12,10,60,2.9500317089259624,3,4,7,100.0,63.76518218623482,[ $leeftijd \ge 22.755430785$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,13,10,65,5.411279522813857,3,4,7,100.0,63.72847011144883,[ $leeftijd \ge 22.755430785$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,14,10,69,7.6121900151483715,3,4,7,100.0,63.691683569979716,[ $leeftijd \ge 22.755430785$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,15,10,74,12.058739153202623,3,4,7,100.0,63.654822335025386,[ $leeftijd \ge 22.755430785$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,16,10,77,15.705852366052568,3,4,7,100.0,63.617886178861795,[ $leeftijd \ge 22.755430785$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,17,10,81,22.33684444380924,3,4,7,100.0,63.58087487283826,[ $leeftijd \ge 22.755430785$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,18,10,84,27.51293796580285,3,4,7,100.0,63.84928716904277,[ $leeftijd \ge 21.809241945$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,19,10,87,36.263646656647325,4,5,9,100.0,59.63302752293578,[ $cgebland \ge 2.0$ [ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $leeftijd \ge 21.809241945$ [ $lft2 \ge 9.583362924$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,20,10,90,42.42701780889183,4,5,9,100.0,59.591836734693885,[ $cgebland \ge 2.0$ [ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $leeftijd \ge 21.809241945$ [ $lft2 \ge 9.583362924$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,22,10,99,73.60951457591727,4,5,9,100.0,59.50920245398773,[ $cgebland \ge 2.0$ [ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $leeftijd \ge 21.809241945$ [ $lft2 \ge 9.583362924$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,24,10,106,119.80635017901659,4,6,11,100.0,59.93852459016394,[ $leeftijd \ge 21.809241945$ [ $lftinsz1inclvtt \ge 26.915325835$ [ $lftinsz1inclvtt \ge 32.82819986$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $leeftijd \ge 21.420836235000003$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,26,10,113,177.61239184485748,4,8,15,100.0,49.48665297741273,[ $lftinsz1inclvtt \ge 22.18427989$ [ $leeftijd \ge 32.82819986$ [ $leeftijd \ge 51.41728864$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $delcuziv \ge 7.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $leeftijd \ge 21.809241945$ [ $dichtheid \ge 1.0883149054999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $leeftijd \ge 21.420836235000003$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,28,10,121,251.65552463801578,4,8,15,100.0,49.382716049382715,[ $lftinsz1inclvtt \ge 22.18427989$ [ $leeftijd \ge 32.82819986$ [ $leeftijd \ge 51.41728864$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $delcuziv \ge 7.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $leeftijd \ge 21.809241945$ [ $dichtheid \ge 1.066447348$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $leeftijd \ge 21.420836235000003$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,30,10,129,299.9940978093073,4,8,15,100.0,50.103092783505154,[ $lftinsz1inclvtt \ge 24.112531734999997$ [ $lftinsz1inclvtt \ge 32.82819986$ [ $leeftijd \ge 51.41728864$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $lftinsz1inclvtt \ge 27.02504495$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $lftinsz1inclvtt \ge 20.19879435$ [ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $dichtheid \ge 1.066447348$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,32,10,136,581.7418807987124,5,10,19,100.0,57.128099173553714,[ $sekse \eq 0$ [ $lftinsz1inclvtt \ge 21.809241945$ [ $lftinsz1inclvtt \ge 27.02504495$ [ $lftinsz1inclvtt \ge 32.82819986$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $dichtheid \ge 0.26694094$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $dichtheid \ge 0.376878691$ [ $dichtheid \ge 1.066447348$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $leeftijd \ge 49.834995434999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,34,10,142,300.0676028500311,5,10,19,100.0,57.039337474120074,[ $sekse \eq 0$ [ $lftinsz1inclvtt \ge 21.809241945$ [ $lftinsz1inclvtt \ge 27.02504495$ [ $lftinsz1inclvtt \ge 32.82819986$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $dichtheid \ge 0.26694094$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $dichtheid \ge 0.376878691$ [ $dichtheid \ge 1.066447348$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $leeftijd \ge 49.834995434999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
