fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,10,20,0.026228797622025013,1,1,1,100.0,61.56156156156156,[ $class$ [ $0$ ] ]
NA,2,10,20,0.03716936707496643,1,1,1,100.0,61.523046092184366,[ $class$ [ $0$ ] ]
NA,3,10,26,0.0377915920689702,2,2,3,100.0,63.390170511534606,[ $dichtheid \ge 1.4477360675$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,10,30,0.028541827108711004,2,2,3,100.0,65.86345381526104,[ $dum21plus \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,10,33,0.0297689251601696,2,2,3,100.0,65.82914572864321,[ $dum21plus \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,10,39,0.028760647866874933,2,2,3,100.0,65.79476861167002,[ $dum21plus \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,10,43,0.02762592537328601,2,2,3,100.0,61.631419939577036,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,10,46,0.0326268058270216,2,2,3,100.0,61.59274193548387,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,10,49,0.031579863745719194,2,2,3,100.0,61.5539858728557,[ $dichtheid \ge 1.7917226625$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,10,52,0.05854669865220785,3,3,5,100.0,53.333333333333336,[ $leeftijd \ge 28.98562628$ [ $class$ [ $0$ ] ] [ $lftinsz1inclvtt \ge 20.862066$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
