fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,27,54,-1,-1,-1,-1,-1,-1,NA
NA,2,27,54,-1,-1,-1,-1,-1,-1,NA
NA,3,27,57,-1,-1,-1,-1,-1,-1,NA
NA,4,27,60,-1,-1,-1,-1,-1,-1,NA
NA,5,27,63,-1,-1,-1,-1,-1,-1,NA
NA,6,27,69,-1,-1,-1,-1,-1,-1,NA
NA,7,27,74,-1,-1,-1,-1,-1,-1,NA
NA,8,27,79,-1,-1,-1,-1,-1,-1,NA
NA,9,27,83,-1,-1,-1,-1,-1,-1,NA
NA,10,27,91,-1,-1,-1,-1,-1,-1,NA
NA,11,27,95,-1,-1,-1,-1,-1,-1,NA
NA,12,27,98,-1,-1,-1,-1,-1,-1,NA
NA,13,27,103,-1,-1,-1,-1,-1,-1,NA
NA,14,27,106,-1,-1,-1,-1,-1,-1,NA
NA,15,27,111,-1,-1,-1,-1,-1,-1,NA
NA,16,27,115,-1,-1,-1,-1,-1,-1,NA
NA,17,27,126,-1,-1,-1,-1,-1,-1,NA
NA,18,27,130,-1,-1,-1,-1,-1,-1,NA
NA,19,27,135,-1,-1,-1,-1,-1,-1,NA
NA,20,27,141,-1,-1,-1,-1,-1,-1,NA
NA,22,27,147,-1,-1,-1,-1,-1,-1,NA
NA,24,27,155,-1,-1,-1,-1,-1,-1,NA
NA,26,27,164,-1,-1,-1,-1,-1,-1,NA
NA,28,27,178,-1,-1,-1,-1,-1,-1,NA
NA,30,27,184,-1,-1,-1,-1,-1,-1,NA
NA,32,27,195,-1,-1,-1,-1,-1,-1,NA
NA,34,27,202,-1,-1,-1,-1,-1,-1,NA
NA,36,27,210,-1,-1,-1,-1,-1,-1,NA
NA,38,27,218,-1,-1,-1,-1,-1,-1,NA
NA,40,27,229,-1,-1,-1,-1,-1,-1,NA
NA,45,27,249,-1,-1,-1,-1,-1,-1,NA
NA,50,27,271,-1,-1,-1,-1,-1,-1,NA
NA,55,27,289,-1,-1,-1,-1,-1,-1,NA
NA,60,27,308,-1,-1,-1,-1,-1,-1,NA
NA,65,27,329,-1,-1,-1,-1,-1,-1,NA
NA,70,27,348,-1,-1,-1,-1,-1,-1,NA
NA,75,27,370,-1,-1,-1,-1,-1,-1,NA
NA,80,27,392,-1,-1,-1,-1,-1,-1,NA
NA,85,27,411,-1,-1,-1,-1,-1,-1,NA
NA,90,27,430,-1,-1,-1,-1,-1,-1,NA
NA,100,27,466,-1,-1,-1,-1,-1,-1,NA
NA,110,27,507,-1,-1,-1,-1,-1,-1,NA
NA,120,27,544,-1,-1,-1,-1,-1,-1,NA
NA,130,27,580,-1,-1,-1,-1,-1,-1,NA
NA,140,27,615,-1,-1,-1,-1,-1,-1,NA
NA,150,27,653,-1,-1,-1,-1,-1,-1,NA
NA,160,27,689,-1,-1,-1,-1,-1,-1,NA
NA,170,27,732,-1,-1,-1,-1,-1,-1,NA
NA,180,27,770,-1,-1,-1,-1,-1,-1,NA
NA,200,27,847,-1,-1,-1,-1,-1,-1,NA
NA,220,27,923,-1,-1,-1,-1,-1,-1,NA
NA,240,27,1000,-1,-1,-1,-1,-1,-1,NA
NA,260,27,1080,-1,-1,-1,-1,-1,-1,NA
NA,280,27,1160,-1,-1,-1,-1,-1,-1,NA
NA,300,27,1231,-1,-1,-1,-1,-1,-1,NA
NA,325,27,1322,-1,-1,-1,-1,-1,-1,NA
NA,350,27,1410,-1,-1,-1,-1,-1,-1,NA
NA,375,27,1501,-1,-1,-1,-1,-1,-1,NA
NA,400,27,1595,-1,-1,-1,-1,-1,-1,NA
NA,425,27,1688,-1,-1,-1,-1,-1,-1,NA
NA,450,27,1782,-1,-1,-1,-1,-1,-1,NA
NA,475,27,1874,-1,-1,-1,-1,-1,-1,NA
NA,500,27,1963,-1,-1,-1,-1,-1,-1,NA
NA,550,27,2138,-1,-1,-1,-1,-1,-1,NA
NA,600,27,2318,-1,-1,-1,-1,-1,-1,NA
NA,650,27,2502,-1,-1,-1,-1,-1,-1,NA
NA,700,27,2682,-1,-1,-1,-1,-1,-1,NA
NA,750,27,2866,-1,-1,-1,-1,-1,-1,NA
NA,800,27,3040,-1,-1,-1,-1,-1,-1,NA
NA,850,27,3218,-1,-1,-1,-1,-1,-1,NA
NA,900,27,3404,-1,-1,-1,-1,-1,-1,NA
