fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,27,54,0.002435747068375349,1,1,1,100.0,93.98496240601504,[ $class$ [ $0$ ] ]
NA,2,27,54,0.0025673722848296165,1,1,1,100.0,93.97849462365592,[ $class$ [ $0$ ] ]
NA,3,27,57,0.002456654328852892,2,2,3,100.0,67.70721205597417,[ $vgvermgng \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,27,60,0.0025277938693761826,2,2,3,100.0,91.48706896551724,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,27,63,0.0033739530481398106,2,2,3,100.0,91.47788565264293,[ $zvermgng \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,27,69,0.002588817849755287,2,2,3,100.0,93.73650107991361,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,27,74,0.00242893910035491,2,2,3,100.0,77.94594594594595,[ $dichtheid \ge 0.700319871$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,27,79,0.0026279003359377384,2,2,3,100.0,83.98268398268398,[ $lftinsz1inclvtt \ge 16.055607525$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,27,83,0.0024896031245589256,2,2,3,100.0,83.96533044420367,[ $lftinsz1inclvtt \ge 16.055607525$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,27,91,0.002524417359381914,2,2,3,100.0,93.70932754880694,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,11,27,95,0.002668566070497036,2,2,3,100.0,91.42236699239956,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,12,27,98,0.002445667050778866,2,2,3,100.0,81.41304347826087,[ $dichtheid \ge 0.7573691495$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,13,27,103,0.0025804564356803894,2,2,3,100.0,91.40369967355821,[ $zvermgng \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,14,27,106,0.0025827880017459393,2,2,3,100.0,93.68191721132898,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,15,27,111,0.002490546554327011,3,3,5,100.0,86.1504907306434,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $vggev \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,16,27,115,0.0025800038129091263,3,3,5,100.0,87.117903930131,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 69.975150375$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,17,27,126,0.0025045680813491344,3,3,5,100.0,89.2896174863388,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 197.82106055$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,18,27,130,0.0026247240602970123,3,3,5,100.0,91.13785557986871,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 324.59871410000005$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,19,27,135,0.002573790028691292,3,3,5,100.0,86.96604600219058,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgvernoo \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,20,27,141,0.0026518977247178555,3,3,5,95.0,90.5701754385965,[ $leeftijd \ge 67.25254145$ [ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,22,27,147,0.002632712945342064,3,3,5,95.45454545454545,90.65934065934066,[ $lftinsz1inclvtt \ge 64.26591186$ [ $zvermgng \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,24,27,155,0.002679463941603899,3,3,5,95.83333333333334,90.7488986784141,[ $lft2 \ge 844.4713876$ [ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,26,27,164,0.002603325992822647,3,3,5,96.15384615384616,90.50772626931567,[ $leeftijd \ge 67.25254145$ [ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,28,27,178,0.0027189929969608784,3,3,5,96.42857142857143,90.48672566371681,[ $leeftijd \ge 67.25254145$ [ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,30,27,184,0.0028155818581581116,3,3,5,96.66666666666667,90.68736141906874,[ $lft2 \ge 844.4713876$ [ $zvermgng \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,32,27,195,0.0026616263203322887,3,3,5,96.875,90.55555555555556,[ $lftinsz1inclvtt \ge 64.26591186$ [ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,34,27,202,0.003296040929853916,3,3,5,97.05882352941177,90.64587973273942,[ $lft2 \ge 844.4713876$ [ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,36,27,210,0.0027759578078985214,3,3,5,97.22222222222221,90.40178571428571,[ $leeftijd \ge 67.25254145$ [ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,38,27,218,0.0027691838331520557,3,3,5,97.36842105263158,90.60402684563759,[ $lft2 \ge 844.4713876$ [ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,40,27,229,0.002764423843473196,3,3,5,95.0,90.47085201793722,[ $leeftijd \ge 67.25254145$ [ $leeftijd \ge 20.726899385$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,45,27,249,0.002799686975777149,3,3,5,95.55555555555556,90.52987598647125,[ $lftinsz1inclvtt \ge 64.26591186$ [ $leeftijd \ge 20.726899385$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,50,27,271,0.0031126579269766808,3,3,5,94.0,90.47619047619048,[ $leeftijd \ge 67.25254145$ [ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,55,27,289,0.003073275089263916,3,3,5,94.54545454545455,90.87799315849487,[ $lftinsz1inclvtt \ge 64.26591186$ [ $class$ [ $0$ ] ] [ $leeftijd \ge 81.81216363$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,60,27,308,0.0031868559308350086,3,3,5,95.0,90.71100917431193,[ $lft2 \ge 326.9278106500001$ [ $class$ [ $0$ ] ] [ $dichtheid \ge 0.5998651564999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,65,27,329,0.0030402131378650665,3,3,5,93.84615384615384,93.77162629757785,[ $lftinsz1inclvtt \ge 64.26591186$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 0.3465735905$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,70,27,348,0.003087196033447981,3,3,5,94.28571428571428,94.08352668213456,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $leeftijd \ge 27.473413155$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,75,27,370,0.003138318657875061,3,3,5,94.66666666666667,93.69894982497082,[ $lftinsz1inclvtt \ge 64.75299684$ [ $class$ [ $0$ ] ] [ $dichtheid \ge 0.3467795515$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,80,27,392,0.0032960069365799427,3,3,5,93.75,90.25821596244131,[ $lnvgalguz \ge 2.1910133175$ [ $class$ [ $0$ ] ] [ $lftinsz1inclvtt \ge 31.40289143$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,85,27,411,0.003342919982969761,3,3,5,94.11764705882352,90.79102715466351,[ $lnvgalguz \ge 2.1910133175$ [ $class$ [ $0$ ] ] [ $lftinsz1inclvtt \ge 26.37958159$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,90,27,430,0.003522894810885191,3,3,5,94.44444444444444,90.61757719714964,[ $lftinsz1inclvtt \ge 15.74603224$ [ $lnvgalguz \ge 1.242453325$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,100,27,466,0.0037574567832052708,3,3,5,94.0,93.99038461538461,[ $lftinsz1inclvtt \ge 15.74603224$ [ $lnvgalguz \ge 1.242453325$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,110,27,507,0.003932313993573189,3,3,5,94.54545454545455,93.91727493917274,[ $lftinsz1inclvtt \ge 15.74603224$ [ $lnvgalguz \ge 1.4978661365$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,120,27,544,0.0042565311305224895,3,3,5,94.16666666666667,92.61083743842364,[ $zvermgng \eq 0$ [ $dichtheid \ge 0.993382274$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,130,27,580,0.004619908053427935,3,3,5,94.61538461538461,92.76807980049875,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $dichtheid \ge 0.8111516805000001$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,140,27,615,0.004704111255705357,3,3,5,95.0,92.42424242424242,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $dichtheid \ge 0.8919017725$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,150,27,653,0.004891439341008663,3,3,5,94.66666666666667,92.45524296675191,[ $zvermgng \eq 0$ [ $dichtheid \ge 1.0187005135$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,160,27,689,0.005206495989114046,3,3,5,94.375,93.26424870466322,[ $zvermgng \eq 0$ [ $lnvgalguz \ge 0.8958797350000001$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,170,27,732,0.005442054010927677,3,3,5,94.11764705882352,93.83202099737534,[ $vgboete \ge 6.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 83.666123275$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,180,27,770,0.006222530733793974,3,3,5,94.44444444444444,92.95212765957447,[ $vgboete \ge 6.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 7.2429114365$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,200,27,847,0.006627749186009169,3,3,5,94.5,93.71584699453553,[ $vgboete \ge 7.5$ [ $class$ [ $0$ ] ] [ $leeftijd \ge 44.206707734999995$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,220,27,923,0.009297247976064682,3,3,5,94.0909090909091,94.10112359550563,[ $vgzeden \ge 9.5$ [ $zgeweld \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,240,27,1000,0.0104768848977983,3,3,5,94.16666666666667,94.07514450867052,[ $vgzeden \ge 9.5$ [ $cgebland \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,260,27,1080,0.011565573047846556,3,3,5,93.84615384615384,94.19642857142857,[ $vgzeden \ge 9.5$ [ $vgtaak \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,280,27,1160,0.012449077796190977,3,3,5,93.92857142857143,93.86503067484662,[ $dichtheid \ge 1.6880562675$ [ $vgzeden \ge 9.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,300,27,1231,0.014465689193457365,3,3,5,94.33333333333334,93.67088607594937,[ $dichtheid \ge 1.6880562675$ [ $vgzeden \ge 9.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,325,27,1322,0.012516610324382782,3,3,5,94.15384615384616,94.06919275123559,[ $dichtheid \ge 0.9827891019999999$ [ $class$ [ $0$ ] ] [ $zverkeer \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,350,27,1410,0.01864462811499834,3,3,5,94.28571428571428,93.6426116838488,[ $vgzeden \ge 9.5$ [ $dichtheid \ge 1.6880562675$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,375,27,1501,0.020102062728255987,3,3,5,93.86666666666666,93.89587073608617,[ $dichtheid \ge 1.6880562675$ [ $vgzeden \ge 9.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,400,27,1595,0.02447313303127885,3,3,5,94.25,93.796992481203,[ $dichtheid \ge 1.746658413$ [ $vgzeden \ge 9.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,425,27,1688,0.02864857716485858,3,3,5,94.11764705882352,93.29388560157791,[ $vgzeden \ge 4.0$ [ $dichtheid \ge 1.746658413$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,450,27,1782,0.039627672638744116,3,3,5,94.22222222222221,93.15352697095436,[ $vgzeden \ge 4.0$ [ $dichtheid \ge 1.746658413$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,475,27,1874,0.04189746314659715,3,3,5,93.6842105263158,93.8730853391685,[ $vgzeden \ge 4.0$ [ $vgvermgng \ge 20.0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,500,27,1963,0.04614165984094143,3,3,5,94.0,93.51851851851852,[ $vgzeden \ge 4.0$ [ $vgvermgng \ge 20.0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,550,27,2138,0.06025271723046899,3,3,5,94.18181818181817,93.19371727748691,[ $vgzeden \ge 4.0$ [ $vgvermgng \ge 21.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,600,27,2318,0.04855011822655797,3,3,5,94.33333333333334,94.27710843373494,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 41.32648924$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,650,27,2502,0.06062320992350578,3,3,5,94.3076923076923,94.32624113475178,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 39.792610305$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,700,27,2682,0.07023219531401992,3,3,5,94.14285714285714,94.82758620689656,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 50.92839381$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,750,27,2866,0.08180573489516973,3,3,5,94.26666666666667,94.5054945054945,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 45.44874269$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,800,27,3040,0.0930460779927671,3,3,5,94.125,95.45454545454545,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 54.44784253$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,850,27,3218,0.10682436497882009,3,3,5,94.11764705882352,96.34146341463415,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 39.068281830000004$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,27,3404,0.12317958101630211,3,3,5,94.22222222222221,96.875,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 36.53638262$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
