fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,27,54,0.7979665119200945,1,1,1,100.0,93.98496240601504,[ $class$ [ $0$ ] ]
NA,2,27,54,0.0020563798025250435,1,1,1,100.0,93.97849462365592,[ $class$ [ $0$ ] ]
NA,3,27,57,0.003351223189383745,2,2,3,100.0,48.546824542518834,[ $lnvgalguz \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,27,60,0.00466423574835062,2,2,3,100.0,48.491379310344826,[ $lnvgalguz \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,27,63,0.0057773711159825325,2,2,3,100.0,48.43581445523193,[ $lnvgalguz \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,27,69,0.03295138571411371,2,2,3,100.0,81.10151187904968,[ $lftinsz1inclvtt \ge 16.971418615$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,27,74,0.17246825294569135,2,2,3,100.0,81.08108108108108,[ $lftinsz1inclvtt \ge 16.971418615$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,27,79,0.6090525188483298,2,2,3,100.0,83.98268398268398,[ $lftinsz1inclvtt \ge 16.055607525$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,9,27,83,1.3345261341892183,2,2,3,100.0,83.96533044420367,[ $lftinsz1inclvtt \ge 16.055607525$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,10,27,91,3.0340305021964014,2,2,3,100.0,83.94793926247289,[ $lftinsz1inclvtt \ge 16.055607525$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,11,27,95,4.843531236983836,2,2,3,100.0,84.47339847991314,[ $lftinsz1inclvtt \ge 15.956433045$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,12,27,98,6.271221423987299,2,2,3,100.0,84.45652173913044,[ $lftinsz1inclvtt \ge 15.956433045$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,13,27,103,8.210610069800168,2,2,3,100.0,84.43960826985855,[ $lftinsz1inclvtt \ge 15.956433045$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,14,27,106,10.399053519126028,2,2,3,100.0,84.42265795206971,[ $lftinsz1inclvtt \ge 15.956433045$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,15,27,111,17.673452310729772,3,3,5,100.0,86.1504907306434,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,16,27,115,22.526199745945632,3,3,5,100.0,86.1353711790393,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,17,27,126,49.42001978075132,3,3,5,100.0,86.12021857923497,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,18,27,130,60.940989738795906,3,3,5,100.0,86.10503282275711,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,19,27,135,82.62370390212163,3,3,5,100.0,86.08981380065718,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,20,27,141,123.87647466175258,3,3,5,100.0,84.75877192982456,[ $lnvgalguz \ge 0.3465735905$ [ $lft2 \ge 326.9278106500001$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,22,27,147,160.2858181190677,3,3,5,100.0,84.72527472527473,[ $lnvgalguz \ge 0.3465735905$ [ $lft2 \ge 326.9278106500001$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,24,27,155,231.39779542014003,3,4,7,100.0,89.42731277533039,[ $lnvgalguz \ge 1.039720771$ [ $leeftijd \ge 20.726899385$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $leeftijd \ge 67.25254145$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,26,27,164,300.01529961870983,3,4,7,100.0,85.32008830022076,[ $lnvgalguz \ge 0.8958797350000001$ [ $dichtheid \ge 0.7573691495$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $leeftijd \ge 67.25254145$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,28,27,178,300.00932713085786,3,4,7,100.0,85.28761061946902,[ $lnvgalguz \ge 0.8958797350000001$ [ $dichtheid \ge 0.7573691495$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $leeftijd \ge 67.25254145$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,30,27,184,300.05569288227707,3,4,7,100.0,85.2549889135255,[ $lnvgalguz \ge 0.8958797350000001$ [ $dichtheid \ge 0.7573691495$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $leeftijd \ge 67.25254145$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,32,27,195,-1,-1,-1,-1,-1,-1,NA
NA,34,27,202,-1,-1,-1,-1,-1,-1,NA
NA,36,27,210,-1,-1,-1,-1,-1,-1,NA
NA,38,27,218,-1,-1,-1,-1,-1,-1,NA
NA,40,27,229,-1,-1,-1,-1,-1,-1,NA
NA,45,27,249,-1,-1,-1,-1,-1,-1,NA
NA,50,27,271,-1,-1,-1,-1,-1,-1,NA
NA,55,27,289,-1,-1,-1,-1,-1,-1,NA
NA,60,27,308,-1,-1,-1,-1,-1,-1,NA
NA,65,27,329,-1,-1,-1,-1,-1,-1,NA
NA,70,27,348,-1,-1,-1,-1,-1,-1,NA
NA,75,27,370,-1,-1,-1,-1,-1,-1,NA
NA,80,27,392,-1,-1,-1,-1,-1,-1,NA
NA,85,27,411,-1,-1,-1,-1,-1,-1,NA
NA,90,27,430,-1,-1,-1,-1,-1,-1,NA
NA,100,27,466,-1,-1,-1,-1,-1,-1,NA
NA,110,27,507,-1,-1,-1,-1,-1,-1,NA
NA,120,27,544,-1,-1,-1,-1,-1,-1,NA
NA,130,27,580,-1,-1,-1,-1,-1,-1,NA
NA,140,27,615,-1,-1,-1,-1,-1,-1,NA
NA,150,27,653,-1,-1,-1,-1,-1,-1,NA
NA,160,27,689,-1,-1,-1,-1,-1,-1,NA
NA,170,27,732,-1,-1,-1,-1,-1,-1,NA
NA,180,27,770,-1,-1,-1,-1,-1,-1,NA
NA,200,27,847,-1,-1,-1,-1,-1,-1,NA
NA,220,27,923,-1,-1,-1,-1,-1,-1,NA
NA,240,27,1000,-1,-1,-1,-1,-1,-1,NA
NA,260,27,1080,-1,-1,-1,-1,-1,-1,NA
NA,280,27,1160,-1,-1,-1,-1,-1,-1,NA
NA,300,27,1231,-1,-1,-1,-1,-1,-1,NA
NA,325,27,1322,-1,-1,-1,-1,-1,-1,NA
NA,350,27,1410,-1,-1,-1,-1,-1,-1,NA
NA,375,27,1501,-1,-1,-1,-1,-1,-1,NA
NA,400,27,1595,-1,-1,-1,-1,-1,-1,NA
NA,425,27,1688,-1,-1,-1,-1,-1,-1,NA
NA,450,27,1782,-1,-1,-1,-1,-1,-1,NA
NA,475,27,1874,-1,-1,-1,-1,-1,-1,NA
NA,500,27,1963,-1,-1,-1,-1,-1,-1,NA
NA,550,27,2138,-1,-1,-1,-1,-1,-1,NA
NA,600,27,2318,-1,-1,-1,-1,-1,-1,NA
NA,650,27,2502,-1,-1,-1,-1,-1,-1,NA
NA,700,27,2682,-1,-1,-1,-1,-1,-1,NA
NA,750,27,2866,-1,-1,-1,-1,-1,-1,NA
NA,800,27,3040,-1,-1,-1,-1,-1,-1,NA
NA,850,27,3218,-1,-1,-1,-1,-1,-1,NA
NA,900,27,3404,-1,-1,-1,-1,-1,-1,NA
