fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,27,54,0.027456322219222784,1,1,1,100.0,93.98496240601504,[ $class$ [ $0$ ] ]
NA,2,27,54,0.030572828836739063,1,1,1,100.0,93.97849462365592,[ $class$ [ $0$ ] ]
NA,3,27,57,0.041470141150057316,2,2,3,100.0,83.53067814854683,[ $vgzeden \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,27,60,0.026463109999895096,2,2,3,100.0,76.50862068965517,[ $vggeweld \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,27,63,0.051572089083492756,2,2,3,100.0,76.48327939590077,[ $vggeweld \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,27,69,0.02969628805294633,2,2,3,100.0,93.73650107991361,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,27,74,0.020734241232275963,2,2,3,100.0,93.72972972972973,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,27,79,0.037177326157689095,2,2,3,100.0,93.72294372294373,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,27,83,0.0249425801448524,2,2,3,100.0,93.71614301191767,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,27,91,0.028856572695076466,2,2,3,100.0,93.70932754880694,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,11,27,95,0.036861788015812635,2,2,3,100.0,93.70249728555918,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,12,27,98,0.032741168048232794,2,2,3,100.0,93.69565217391305,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,13,27,103,0.03812629310414195,2,2,3,100.0,93.68879216539717,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,14,27,106,0.035664888098835945,2,2,3,100.0,93.68191721132898,[ $vgzeden \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,15,27,111,0.15792684396728873,3,3,5,100.0,86.1504907306434,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,16,27,115,0.19163257302716374,3,3,5,100.0,86.1353711790393,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,17,27,126,0.272635480388999,3,3,5,100.0,86.12021857923497,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,18,27,130,0.3334666881710291,3,3,5,100.0,86.10503282275711,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,19,27,135,0.622503733728081,3,3,5,100.0,86.08981380065718,[ $cgebland \ge 2.5$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,20,27,141,1.201162001118064,3,3,5,100.0,84.75877192982456,[ $lnvgalguz \ge 0.3465735905$ [ $lft2 \ge 326.9278106500001$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,22,27,147,1.5243712770752609,3,3,5,100.0,84.72527472527473,[ $lnvgalguz \ge 0.3465735905$ [ $lft2 \ge 326.9278106500001$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,24,27,155,4.218794049229473,3,3,5,100.0,85.24229074889867,[ $lnvgalguz \ge 1.7005986905000001$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,26,27,164,10.233402403071523,3,3,5,100.0,85.20971302428256,[ $lnvgalguz \ge 1.7005986905000001$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,28,27,178,16.620387014001608,3,3,5,100.0,85.17699115044249,[ $lnvgalguz \ge 1.7005986905000001$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,30,27,184,22.5912059918046,3,3,5,100.0,85.14412416851441,[ $lnvgalguz \ge 1.7005986905000001$ [ $class$ [ $0$ ] ] [ $vgzeden \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,32,27,195,21.274319935124367,1,1,1,93.75,94.0,[ $class$ [ $0$ ] ]
NA,34,27,202,0.1949874646961689,1,1,1,94.11764705882352,93.98663697104676,[ $class$ [ $0$ ] ]
NA,36,27,210,0.22712548216804862,1,1,1,94.44444444444444,93.97321428571429,[ $class$ [ $0$ ] ]
NA,38,27,218,0.27063712012022734,1,1,1,94.73684210526315,93.95973154362416,[ $class$ [ $0$ ] ]
NA,40,27,229,152.39941270696,1,1,1,92.5,94.05829596412556,[ $class$ [ $0$ ] ]
NA,45,27,249,495.14500791719183,1,1,1,93.33333333333333,94.02480270574972,[ $class$ [ $0$ ] ]
NA,50,27,271,1050.927155839745,1,1,1,92.0,94.10430839002267,[ $class$ [ $0$ ] ]
NA,55,27,289,1044.583047632128,1,1,1,92.72727272727272,94.07069555302166,[ $class$ [ $0$ ] ]
NA,60,27,308,-1,-1,-1,-1,-1,-1,NA
NA,65,27,329,-1,-1,-1,-1,-1,-1,NA
NA,70,27,348,-1,-1,-1,-1,-1,-1,NA
NA,75,27,370,-1,-1,-1,-1,-1,-1,NA
NA,80,27,392,-1,-1,-1,-1,-1,-1,NA
NA,85,27,411,-1,-1,-1,-1,-1,-1,NA
NA,90,27,430,-1,-1,-1,-1,-1,-1,NA
NA,100,27,466,-1,-1,-1,-1,-1,-1,NA
NA,110,27,507,-1,-1,-1,-1,-1,-1,NA
NA,120,27,544,-1,-1,-1,-1,-1,-1,NA
NA,130,27,580,-1,-1,-1,-1,-1,-1,NA
NA,140,27,615,-1,-1,-1,-1,-1,-1,NA
NA,150,27,653,-1,-1,-1,-1,-1,-1,NA
NA,160,27,689,-1,-1,-1,-1,-1,-1,NA
NA,170,27,732,-1,-1,-1,-1,-1,-1,NA
NA,180,27,770,-1,-1,-1,-1,-1,-1,NA
NA,200,27,847,-1,-1,-1,-1,-1,-1,NA
NA,220,27,923,-1,-1,-1,-1,-1,-1,NA
NA,240,27,1000,-1,-1,-1,-1,-1,-1,NA
NA,260,27,1080,-1,-1,-1,-1,-1,-1,NA
NA,280,27,1160,-1,-1,-1,-1,-1,-1,NA
NA,300,27,1231,-1,-1,-1,-1,-1,-1,NA
NA,325,27,1322,-1,-1,-1,-1,-1,-1,NA
NA,350,27,1410,-1,-1,-1,-1,-1,-1,NA
NA,375,27,1501,-1,-1,-1,-1,-1,-1,NA
NA,400,27,1595,-1,-1,-1,-1,-1,-1,NA
NA,425,27,1688,-1,-1,-1,-1,-1,-1,NA
NA,450,27,1782,-1,-1,-1,-1,-1,-1,NA
NA,475,27,1874,-1,-1,-1,-1,-1,-1,NA
NA,500,27,1963,-1,-1,-1,-1,-1,-1,NA
NA,550,27,2138,-1,-1,-1,-1,-1,-1,NA
NA,600,27,2318,-1,-1,-1,-1,-1,-1,NA
NA,650,27,2502,-1,-1,-1,-1,-1,-1,NA
NA,700,27,2682,-1,-1,-1,-1,-1,-1,NA
NA,750,27,2866,-1,-1,-1,-1,-1,-1,NA
NA,800,27,3040,-1,-1,-1,-1,-1,-1,NA
NA,850,27,3218,-1,-1,-1,-1,-1,-1,NA
NA,900,27,3404,-1,-1,-1,-1,-1,-1,NA
