fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,27,54,0.00293456157669425,1,1,1,100.0,93.98496240601504,[ $class$ [ $0$ ] ]
NA,2,27,54,0.0026344326324760914,1,1,1,100.0,93.97849462365592,[ $class$ [ $0$ ] ]
NA,3,27,57,0.0036062467843294144,2,2,3,100.0,91.49623250807319,[ $zvermgng \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,27,60,0.003962112125009298,2,2,3,100.0,91.48706896551724,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,27,63,0.004456281196326017,2,2,3,100.0,85.22114347357066,[ $vggeweld \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,27,69,0.006502385716885328,2,2,3,100.0,93.73650107991361,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,27,74,0.0058813258074223995,2,2,3,100.0,81.08108108108108,[ $lftinsz1inclvtt \ge 16.971418615$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,27,79,0.006807100027799606,2,2,3,100.0,91.45021645021644,[ $zvermgng \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,27,83,0.007469887845218182,2,2,3,100.0,91.4409534127844,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,10,27,91,0.008658275008201599,2,2,3,100.0,81.45336225596529,[ $dichtheid \ge 0.7573691495$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,11,27,95,0.009478266350924969,2,2,3,100.0,84.47339847991314,[ $lftinsz1inclvtt \ge 15.956433045$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,12,27,98,0.010479283053427935,2,2,3,100.0,93.69565217391305,[ $vgzeden \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,13,27,103,0.011725546792149544,2,2,3,100.0,91.40369967355821,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,14,27,106,0.012432323768734932,2,2,3,100.0,84.42265795206971,[ $lftinsz1inclvtt \ge 15.956433045$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,15,27,111,0.040825598407536745,3,3,5,100.0,91.16684841875681,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 324.59871410000005$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,16,27,115,0.04514956474304199,3,3,5,100.0,85.91703056768559,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgvernoo \ge 1.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,17,27,126,0.04923288803547621,3,3,5,100.0,85.90163934426229,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgvernoo \ge 1.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,18,27,130,0.0520951678045094,3,3,5,100.0,86.76148796498906,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $lft2 \ge 28.740043139999997$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,19,27,135,0.056713071186095476,3,3,5,100.0,85.87075575027382,[ $vgzeden \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgvernoo \ge 1.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,20,27,141,0.05980732198804617,2,2,3,95.0,90.78947368421053,[ $lft2 \ge 844.4713876$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,22,27,147,0.06424449756741524,2,2,3,95.45454545454545,90.76923076923077,[ $lft2 \ge 844.4713876$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,24,27,155,0.07094150269404054,2,2,3,95.83333333333334,90.7488986784141,[ $lft2 \ge 844.4713876$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,26,27,164,0.0799629120156169,2,2,3,96.15384615384616,90.72847682119205,[ $lft2 \ge 844.4713876$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,28,27,178,0.09091376513242722,2,2,3,96.42857142857143,90.7079646017699,[ $lft2 \ge 844.4713876$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,30,27,184,0.09549888968467712,2,2,3,96.66666666666667,90.46563192904657,[ $leeftijd \ge 67.25254145$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,32,27,195,0.10362115083262324,2,2,3,96.875,90.55555555555556,[ $lftinsz1inclvtt \ge 64.26591186$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,34,27,202,0.0804547956213355,2,2,3,97.05882352941177,90.64587973273942,[ $lft2 \ge 844.4713876$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,36,27,210,0.0858032419346273,2,2,3,97.22222222222221,90.625,[ $lft2 \ge 844.4713876$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,38,27,218,0.056523111648857594,1,1,1,94.73684210526315,93.95973154362416,[ $class$ [ $0$ ] ]
NA,40,27,229,0.1195578989572823,1,1,1,92.5,94.05829596412556,[ $class$ [ $0$ ] ]
NA,45,27,249,0.13966213213279843,1,1,1,93.33333333333333,94.02480270574972,[ $class$ [ $0$ ] ]
NA,50,27,271,0.1763560138642788,1,1,1,92.0,94.10430839002267,[ $class$ [ $0$ ] ]
NA,55,27,289,0.2004641774110496,1,1,1,92.72727272727272,94.07069555302166,[ $class$ [ $0$ ] ]
NA,60,27,308,0.2278144359588623,1,1,1,93.33333333333333,94.03669724770643,[ $class$ [ $0$ ] ]
NA,65,27,329,0.2392443148419261,1,1,1,92.3076923076923,94.11764705882352,[ $class$ [ $0$ ] ]
NA,70,27,348,0.2707813400775194,1,1,1,92.85714285714286,94.08352668213456,[ $class$ [ $0$ ] ]
NA,75,27,370,0.3026834689080715,1,1,1,93.33333333333333,94.04900816802801,[ $class$ [ $0$ ] ]
NA,80,27,392,0.34887166833505034,1,1,1,92.5,94.13145539906104,[ $class$ [ $0$ ] ]
NA,85,27,411,0.3860069219954312,1,1,1,92.94117647058823,94.09681227863047,[ $class$ [ $0$ ] ]
NA,90,27,430,0.4267544699832797,1,1,1,93.33333333333333,94.06175771971496,[ $class$ [ $0$ ] ]
NA,100,27,466,0.30214990116655827,1,1,1,94.0,93.99038461538461,[ $class$ [ $0$ ] ]
NA,110,27,507,0.3635887261480093,1,1,1,94.54545454545455,93.91727493917274,[ $class$ [ $0$ ] ]
NA,120,27,544,0.6999657857231796,1,1,1,93.33333333333333,94.08866995073892,[ $class$ [ $0$ ] ]
NA,130,27,580,0.48729471396654844,1,1,1,93.84615384615384,94.0149625935162,[ $class$ [ $0$ ] ]
NA,140,27,615,0.5531696770340204,1,1,1,94.28571428571428,93.93939393939394,[ $class$ [ $0$ ] ]
NA,150,27,653,0.6277306959964335,1,1,1,94.0,93.98976982097187,[ $class$ [ $0$ ] ]
NA,160,27,689,1.091207955032587,1,1,1,93.75,94.04145077720207,[ $class$ [ $0$ ] ]
NA,170,27,732,1.2009092629887164,1,1,1,93.52941176470588,94.09448818897637,[ $class$ [ $0$ ] ]
NA,180,27,770,0.8929138979874551,1,1,1,93.88888888888889,94.0159574468085,[ $class$ [ $0$ ] ]
NA,200,27,847,1.101154692005366,1,1,1,94.0,93.98907103825137,[ $class$ [ $0$ ] ]
NA,220,27,923,1.9769451031461358,1,1,1,93.63636363636364,94.10112359550563,[ $class$ [ $0$ ] ]
NA,240,27,1000,2.2354950308799744,1,1,1,93.75,94.07514450867052,[ $class$ [ $0$ ] ]
NA,260,27,1080,2.6950306738726795,1,1,1,93.46153846153847,94.19642857142857,[ $class$ [ $0$ ] ]
NA,280,27,1160,3.1496540401130915,1,1,1,93.21428571428572,94.32515337423312,[ $class$ [ $0$ ] ]
NA,300,27,1231,3.456337435171008,1,1,1,93.66666666666667,94.14556962025317,[ $class$ [ $0$ ] ]
NA,325,27,1322,4.030946698971093,1,1,1,93.53846153846153,94.2339373970346,[ $class$ [ $0$ ] ]
NA,350,27,1410,4.786267535295337,1,1,1,93.71428571428572,94.15807560137456,[ $class$ [ $0$ ] ]
NA,375,27,1501,5.470884618815035,1,1,1,93.33333333333333,94.43447037701975,[ $class$ [ $0$ ] ]
NA,400,27,1595,6.242867718916386,1,1,1,93.75,94.17293233082707,[ $class$ [ $0$ ] ]
NA,425,27,1688,7.032811502926052,1,1,1,93.64705882352942,94.28007889546352,[ $class$ [ $0$ ] ]
NA,450,27,1782,5.947597147896886,1,1,1,93.77777777777779,94.1908713692946,[ $class$ [ $0$ ] ]
NA,475,27,1874,8.655227774754167,1,1,1,93.47368421052632,94.52954048140045,[ $class$ [ $0$ ] ]
NA,500,27,1963,7.023434912785888,1,1,1,93.8,94.21296296296296,[ $class$ [ $0$ ] ]
NA,550,27,2138,9.37621813872829,1,1,1,94.0,93.97905759162303,[ $class$ [ $0$ ] ]
NA,600,27,2318,14.51421369984746,1,1,1,93.66666666666667,94.57831325301204,[ $class$ [ $0$ ] ]
NA,650,27,2502,17.156829038169235,1,1,1,93.6923076923077,94.68085106382979,[ $class$ [ $0$ ] ]
NA,700,27,2682,20.02192244073376,1,1,1,93.57142857142857,95.25862068965517,[ $class$ [ $0$ ] ]
NA,750,27,2866,22.97219486394897,1,1,1,93.73333333333333,95.05494505494505,[ $class$ [ $0$ ] ]
NA,800,27,3040,26.31336157489568,1,1,1,93.625,96.21212121212122,[ $class$ [ $0$ ] ]
NA,850,27,3218,23.023748595733196,1,1,1,93.76470588235294,96.34146341463415,[ $class$ [ $0$ ] ]
NA,900,27,3404,26.205631397198886,1,1,1,93.88888888888889,96.875,[ $class$ [ $0$ ] ]
