fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,29,58,0.1558650783263147,1,1,1,100.0,74.47447447447448,[ $class$ [ $0$ ] ]
NA,2,29,58,0.001894498709589243,1,1,1,100.0,74.44889779559118,[ $class$ [ $0$ ] ]
NA,3,29,65,0.0030039697885513306,1,1,1,100.0,74.42326980942828,[ $class$ [ $0$ ] ]
NA,4,29,70,0.001976852770894766,1,1,1,100.0,74.3975903614458,[ $class$ [ $0$ ] ]
NA,5,29,75,0.014002935960888863,2,2,3,100.0,76.58291457286433,[ $lnvgalguz \ge 2.9303931115$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,29,78,0.028668183367699385,2,2,3,100.0,76.55935613682092,[ $lnvgalguz \ge 2.9303931115$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,29,88,0.26857204688712955,2,2,3,100.0,76.33434038267876,[ $lnvgalguz \ge 2.6876392035$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,29,100,1.8015275709331036,2,2,3,100.0,76.61290322580645,[ $lnvgalguz \ge 3.005633587$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,29,108,13.242348154075444,3,3,5,100.0,66.19576185671039,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,29,111,17.069464458152652,3,3,5,100.0,66.16161616161617,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,29,114,22.207373808138072,3,3,5,100.0,66.12740141557128,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,29,119,32.69736685231328,3,3,5,100.0,66.09311740890689,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,29,123,43.10539370402694,3,3,5,100.0,66.05876393110435,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,14,29,130,92.96075557218865,3,3,5,100.0,66.02434077079108,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,15,29,135,143.60739152366295,3,3,5,100.0,65.98984771573603,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,16,29,143,243.55156448902562,3,4,7,100.0,72.76422764227642,[ $lnvgalguz \ge 2.297559925$ [ $cgebland \ge 3.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $vgtrans \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,17,29,150,300.0370839750394,3,4,7,100.0,61.953204476093596,[ $vgboete \ge 1.5$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 1.1512925465$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,18,29,154,300.068581815809,3,4,7,100.0,61.91446028513238,[ $vgboete \ge 1.5$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 1.1512925465$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,19,29,165,300.03476651525125,3,4,7,100.0,61.87563710499491,[ $vgboete \ge 1.5$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 1.1512925465$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,20,29,169,-1,-1,-1,-1,-1,-1,NA
NA,22,29,178,-1,-1,-1,-1,-1,-1,NA
NA,24,29,185,-1,-1,-1,-1,-1,-1,NA
NA,26,29,199,-1,-1,-1,-1,-1,-1,NA
NA,28,29,206,-1,-1,-1,-1,-1,-1,NA
NA,30,29,214,-1,-1,-1,-1,-1,-1,NA
NA,32,29,222,-1,-1,-1,-1,-1,-1,NA
NA,34,29,232,-1,-1,-1,-1,-1,-1,NA
NA,36,29,242,-1,-1,-1,-1,-1,-1,NA
NA,38,29,251,-1,-1,-1,-1,-1,-1,NA
NA,40,29,263,-1,-1,-1,-1,-1,-1,NA
NA,45,29,290,-1,-1,-1,-1,-1,-1,NA
NA,50,29,310,-1,-1,-1,-1,-1,-1,NA
NA,55,29,328,-1,-1,-1,-1,-1,-1,NA
NA,60,29,347,-1,-1,-1,-1,-1,-1,NA
NA,65,29,368,-1,-1,-1,-1,-1,-1,NA
NA,70,29,386,-1,-1,-1,-1,-1,-1,NA
NA,75,29,407,-1,-1,-1,-1,-1,-1,NA
NA,80,29,427,-1,-1,-1,-1,-1,-1,NA
NA,85,29,447,-1,-1,-1,-1,-1,-1,NA
NA,90,29,468,-1,-1,-1,-1,-1,-1,NA
NA,100,29,508,-1,-1,-1,-1,-1,-1,NA
NA,110,29,547,-1,-1,-1,-1,-1,-1,NA
NA,120,29,583,-1,-1,-1,-1,-1,-1,NA
NA,130,29,619,-1,-1,-1,-1,-1,-1,NA
NA,140,29,657,-1,-1,-1,-1,-1,-1,NA
NA,150,29,694,-1,-1,-1,-1,-1,-1,NA
NA,160,29,731,-1,-1,-1,-1,-1,-1,NA
NA,170,29,767,-1,-1,-1,-1,-1,-1,NA
NA,180,29,806,-1,-1,-1,-1,-1,-1,NA
NA,200,29,878,-1,-1,-1,-1,-1,-1,NA
NA,220,29,955,-1,-1,-1,-1,-1,-1,NA
NA,240,29,1034,-1,-1,-1,-1,-1,-1,NA
NA,260,29,1106,-1,-1,-1,-1,-1,-1,NA
NA,280,29,1185,-1,-1,-1,-1,-1,-1,NA
NA,300,29,1254,-1,-1,-1,-1,-1,-1,NA
NA,325,29,1350,-1,-1,-1,-1,-1,-1,NA
NA,350,29,1436,-1,-1,-1,-1,-1,-1,NA
NA,375,29,1529,-1,-1,-1,-1,-1,-1,NA
NA,400,29,1624,-1,-1,-1,-1,-1,-1,NA
NA,425,29,1716,-1,-1,-1,-1,-1,-1,NA
NA,450,29,1802,-1,-1,-1,-1,-1,-1,NA
NA,475,29,1894,-1,-1,-1,-1,-1,-1,NA
NA,500,29,1988,-1,-1,-1,-1,-1,-1,NA
NA,550,29,2173,-1,-1,-1,-1,-1,-1,NA
NA,600,29,2352,-1,-1,-1,-1,-1,-1,NA
NA,650,29,2538,-1,-1,-1,-1,-1,-1,NA
NA,700,29,2718,-1,-1,-1,-1,-1,-1,NA
NA,750,29,2894,-1,-1,-1,-1,-1,-1,NA
NA,800,29,3074,-1,-1,-1,-1,-1,-1,NA
NA,850,29,3252,-1,-1,-1,-1,-1,-1,NA
NA,900,29,3432,-1,-1,-1,-1,-1,-1,NA
NA,950,29,3614,-1,-1,-1,-1,-1,-1,NA
NA,1000,29,3797,-1,-1,-1,-1,-1,-1,NA
