fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,29,58,0.0296888230368495,1,1,1,100.0,74.47447447447448,[ $class$ [ $0$ ] ]
NA,2,29,58,0.02969464100897312,1,1,1,100.0,74.44889779559118,[ $class$ [ $0$ ] ]
NA,3,29,65,0.015616660006344318,1,1,1,100.0,74.42326980942828,[ $class$ [ $0$ ] ]
NA,4,29,70,0.032141055911779404,1,1,1,100.0,74.3975903614458,[ $class$ [ $0$ ] ]
NA,5,29,75,0.029281469993293285,2,2,3,100.0,75.77889447236181,[ $vgvermg \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,29,78,0.03154963441193104,2,2,3,100.0,75.75452716297787,[ $vgvermg \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,29,88,0.035392678808420897,2,2,3,100.0,77.0392749244713,[ $vggev \ge 4.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,29,100,0.04062291281297803,2,2,3,100.0,76.51209677419355,[ $vggev \ge 7.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,29,108,0.05973703088238835,3,3,5,100.0,66.19576185671039,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,29,111,0.0629369979724288,3,3,5,100.0,66.16161616161617,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,29,114,0.07352121872827411,3,3,5,100.0,66.12740141557128,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,29,119,0.09528894070535898,3,3,5,100.0,66.09311740890689,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,29,123,0.11787994019687176,3,3,5,100.0,66.05876393110435,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,14,29,130,0.27386793214827776,3,3,5,100.0,66.02434077079108,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,15,29,135,0.38418510323390365,3,3,5,100.0,65.98984771573603,[ $lnvgalguz \ge 1.1512925465$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,16,29,143,0.5193249247968197,4,4,7,100.0,72.96747967479675,[ $cgebland \ge 3.0$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 2.297559925$ [ $class$ [ $1$ ] ] [ $vgtrans \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,17,29,150,1.1942849401384592,4,4,7,100.0,66.22583926754832,[ $lnvgalguz \ge 1.1512925465$ [ $leeftijd \ge 24.13548792$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,18,29,154,1.6612828341312706,4,4,7,100.0,66.19144602851324,[ $lnvgalguz \ge 1.1512925465$ [ $leeftijd \ge 24.13548792$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,19,29,165,3.601299357134849,4,4,7,100.0,66.15698267074414,[ $lnvgalguz \ge 1.1512925465$ [ $leeftijd \ge 24.13548792$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,20,29,169,4.908908575307578,4,4,7,100.0,66.12244897959184,[ $lnvgalguz \ge 1.1512925465$ [ $leeftijd \ge 24.13548792$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,22,29,178,9.651999874971807,4,4,7,100.0,68.20040899795501,[ $leeftijd \ge 19.619799935$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgoverig \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,24,29,185,23.917265365831554,4,4,7,100.0,68.13524590163934,[ $leeftijd \ge 19.619799935$ [ $vggeweld \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgoverig \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,26,29,199,59.05854713404551,4,5,9,100.0,71.86858316221766,[ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 2.3502401830000004$ [ $vgvernoo \ge 4.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $vgtrans \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,28,29,206,83.71152980392799,4,5,9,100.0,71.81069958847736,[ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 2.3502401830000004$ [ $vgvernoo \ge 4.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $vgtrans \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,30,29,214,162.65853296406567,4,5,9,100.0,71.75257731958763,[ $cgebland \ge 3.5$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 2.3502401830000004$ [ $vgvernoo \ge 4.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $vgtrans \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,32,29,222,319.9596647117287,4,4,7,96.875,72.93388429752066,[ $lnvgalguz \ge 1.1512925465$ [ $leeftijd \ge 24.228848489999997$ [ $delcuziv \ge 2.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,34,29,232,315.92576482798904,3,3,5,94.11764705882352,75.36231884057972,[ $vgboete \ge 5.0$ [ $class$ [ $1$ ] ] [ $vgvermg \ge 4.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,36,29,242,548.1685435161926,3,3,5,94.44444444444444,74.79253112033194,[ $vgboete \ge 5.5$ [ $class$ [ $1$ ] ] [ $vgvermg \ge 4.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,38,29,251,-1,-1,-1,-1,-1,-1,NA
NA,40,29,263,-1,-1,-1,-1,-1,-1,NA
NA,45,29,290,-1,-1,-1,-1,-1,-1,NA
NA,50,29,310,-1,-1,-1,-1,-1,-1,NA
NA,55,29,328,-1,-1,-1,-1,-1,-1,NA
NA,60,29,347,-1,-1,-1,-1,-1,-1,NA
NA,65,29,368,-1,-1,-1,-1,-1,-1,NA
NA,70,29,386,-1,-1,-1,-1,-1,-1,NA
NA,75,29,407,-1,-1,-1,-1,-1,-1,NA
NA,80,29,427,-1,-1,-1,-1,-1,-1,NA
NA,85,29,447,-1,-1,-1,-1,-1,-1,NA
NA,90,29,468,-1,-1,-1,-1,-1,-1,NA
NA,100,29,508,-1,-1,-1,-1,-1,-1,NA
NA,110,29,547,-1,-1,-1,-1,-1,-1,NA
