fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,29,58,0.0030827177688479424,1,1,1,100.0,74.47447447447448,[ $class$ [ $0$ ] ]
NA,2,29,58,0.0032208808697760105,1,1,1,100.0,74.44889779559118,[ $class$ [ $0$ ] ]
NA,3,29,65,0.003921734169125557,1,1,1,100.0,74.42326980942828,[ $class$ [ $0$ ] ]
NA,4,29,70,0.004385306965559721,1,1,1,100.0,74.3975903614458,[ $class$ [ $0$ ] ]
NA,5,29,75,0.0065027521923184395,2,2,3,100.0,74.37185929648241,[ $zvermgng \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,29,78,0.005686092656105757,2,2,3,100.0,72.7364185110664,[ $vggev \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,29,88,0.007307607214897871,2,2,3,100.0,49.345417925478344,[ $leeftijd \ge 35.888781215$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,29,100,0.008741962723433971,2,2,3,100.0,76.61290322580645,[ $dum21plus \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,9,29,108,0.03901136573404074,3,3,5,100.0,71.54389505549949,[ $lnvgalguz \ge 3.005633587$ [ $dichtheid \ge 0.683827436$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,29,111,0.037937422282993793,3,3,5,100.0,71.51515151515152,[ $dum21plus \eq 1$ [ $dichtheid \ge 0.683827436$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,11,29,114,0.03968117805197835,3,3,5,100.0,75.32861476238625,[ $dum21plus \eq 0$ [ $class$ [ $1$ ] ] [ $vgtrans \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,12,29,119,0.04443443287163973,3,3,5,100.0,71.65991902834008,[ $delcuziv \ge 2.5$ [ $vgtrans \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,13,29,123,0.046838118229061365,3,3,5,100.0,48.632218844984806,[ $leeftijd \ge 35.888781215$ [ $vgtrans \ge 2.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,14,29,130,0.051319662015885115,3,3,5,100.0,72.10953346855985,[ $vgvernoo \ge 1.5$ [ $class$ [ $0$ ] ] [ $vggeweld \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,15,29,135,0.05490932799875736,3,3,5,100.0,64.9746192893401,[ $vgvermgng \ge 0.5$ [ $class$ [ $0$ ] ] [ $vggeweld \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,16,29,143,3.2587299179285765,4,4,7,100.0,64.9390243902439,[ $vgvermgng \ge 0.5$ [ $class$ [ $0$ ] ] [ $vggeweld \ge 0.5$ [ $class$ [ $1$ ] ] [ $leeftijd \ge 19.619799935$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,17,29,150,3.3640960888005793,4,4,7,100.0,64.1912512716175,[ $vgvermgng \ge 0.5$ [ $class$ [ $0$ ] ] [ $vggeweld \ge 0.5$ [ $class$ [ $1$ ] ] [ $dichtheid \ge 0.7215281499999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,18,29,154,3.618196190800518,4,4,7,100.0,71.69042769857434,[ $vgvernoo \ge 1.5$ [ $class$ [ $0$ ] ] [ $vggeweld \ge 0.5$ [ $class$ [ $1$ ] ] [ $lft2 \ge 208.42518485$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,19,29,165,3.929314913228154,4,4,7,100.0,72.17125382262996,[ $vgvernoo \ge 1.5$ [ $class$ [ $0$ ] ] [ $vggeweld \ge 0.5$ [ $class$ [ $1$ ] ] [ $leeftijd \ge 19.619799935$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,20,29,169,4.204798460938036,4,4,7,100.0,71.93877551020408,[ $vgvernoo \ge 1.5$ [ $class$ [ $0$ ] ] [ $vggeweld \ge 0.5$ [ $class$ [ $1$ ] ] [ $leeftijd \ge 21.436409025$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,22,29,178,94.35528193321079,4,4,7,45.45454545454545,38.85480572597137,[ $lft2 \ge 27.841015625$ [ $class$ [ $1$ ] ] [ $vgoverig \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgvermg \ge 4.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,24,29,185,117.9990527019836,4,4,7,45.83333333333333,38.83196721311475,[ $lft2 \ge 27.841015625$ [ $class$ [ $1$ ] ] [ $vgoverig \ge 0.5$ [ $class$ [ $0$ ] ] [ $vgvermg \ge 4.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,26,29,199,301.95929884305224,4,4,7,96.15384615384616,72.8952772073922,[ $vgvernoo \ge 1.5$ [ $class$ [ $0$ ] ] [ $delcuziv \ge 2.0$ [ $leeftijd \ge 25.296645995$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,28,29,206,302.989448543638,4,4,7,96.42857142857143,73.14814814814815,[ $vgvernoo \ge 1.5$ [ $class$ [ $0$ ] ] [ $delcuziv \ge 2.0$ [ $leeftijd \ge 24.228848489999997$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,30,29,214,301.89075529482216,4,4,7,96.66666666666667,73.09278350515463,[ $vgvernoo \ge 1.5$ [ $class$ [ $0$ ] ] [ $delcuziv \ge 2.0$ [ $leeftijd \ge 24.228848489999997$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,32,29,222,-1,-1,-1,-1,-1,-1,NA
NA,34,29,232,-1,-1,-1,-1,-1,-1,NA
NA,36,29,242,-1,-1,-1,-1,-1,-1,NA
NA,38,29,251,-1,-1,-1,-1,-1,-1,NA
NA,40,29,263,-1,-1,-1,-1,-1,-1,NA
NA,45,29,290,-1,-1,-1,-1,-1,-1,NA
NA,50,29,310,-1,-1,-1,-1,-1,-1,NA
NA,55,29,328,-1,-1,-1,-1,-1,-1,NA
NA,60,29,347,-1,-1,-1,-1,-1,-1,NA
NA,65,29,368,-1,-1,-1,-1,-1,-1,NA
NA,70,29,386,-1,-1,-1,-1,-1,-1,NA
NA,75,29,407,-1,-1,-1,-1,-1,-1,NA
NA,80,29,427,-1,-1,-1,-1,-1,-1,NA
NA,85,29,447,-1,-1,-1,-1,-1,-1,NA
NA,90,29,468,-1,-1,-1,-1,-1,-1,NA
NA,100,29,508,-1,-1,-1,-1,-1,-1,NA
NA,110,29,547,-1,-1,-1,-1,-1,-1,NA
NA,120,29,583,-1,-1,-1,-1,-1,-1,NA
NA,130,29,619,-1,-1,-1,-1,-1,-1,NA
NA,140,29,657,-1,-1,-1,-1,-1,-1,NA
NA,150,29,694,-1,-1,-1,-1,-1,-1,NA
