dataset,discretization,optimization,training_accuracy(%),test_accuracy(%),nodes,leaves,duration(s)
balance-scale,complete,CART,92.16,92.16,3,2,0.002699775854125619
balance-scale,complete,CART,92.16,92.16,7,4,0.002825483912602067
balance-scale,complete,CART,92.16,92.16,15,8,0.003662966890260577
balance-scale,complete,CART,92.32000000000001,92.32000000000001,31,16,0.003186282003298402
balance-scale,complete,CART,92.32000000000001,92.32000000000001,45,23,0.003325816011056304
balance-scale,complete,CART,93.28,93.28,73,37,0.0034947069361805916
balance-scale,complete,BinOCT,92.16,92.16,3,2,0.36778917093761265
balance-scale,complete,BinOCT,92.16,92.16,7,4,2.2225692667998374
balance-scale,complete,DL8.5,92.16,92.16,3,2,0.16555729089304805
balance-scale,complete,DL8.5,92.16,92.16,3,2,0.1431016051210463
balance-scale,complete,DL8.5,92.32000000000001,92.32000000000001,9,5,1.9226985410787165
balance-scale,complete,DL8.5,92.80000000000001,92.80000000000001,27,14,17.291175117949024
balance-scale,complete,DL8.5,93.76,93.76,59,30,107.68629204295576
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.12857971107587218
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.1413779128342867
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.12880931911058724
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.14026275789365172
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.13622596790082753
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.1261300549376756
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.1277808251325041
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.15468100318685174
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.14222237607464194
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.14296032302081585
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.1853291818406433
balance-scale,complete,GOSDT,92.16,92.16,1,1,1.0709388160612434
balance-scale,complete,GOSDT,92.16,92.16,1,1,1.3968769570346922
balance-scale,complete,GOSDT,92.16,92.16,1,1,2.2248078749980778
balance-scale,complete,GOSDT,92.16,92.16,1,1,2.783801822923124
balance-scale,complete,GOSDT,92.16,92.16,1,1,3.5418583860155195
balance-scale,complete,GOSDT,92.16,92.16,1,1,4.506224568001926
balance-scale,complete,GOSDT,92.16,92.16,1,1,5.785765063017607
balance-scale,complete,GOSDT,92.16,92.16,1,1,7.237896681996062
balance-scale,complete,GOSDT,92.16,92.16,1,1,8.179036122979596
balance-scale,complete,GOSDT,92.16,92.16,1,1,10.320394528098404
car-evaluation,complete,CART,70.02314814814815,70.02314814814815,3,2,0.004814041079953313
car-evaluation,complete,CART,85.5324074074074,85.5324074074074,5,3,0.003609949955716729
car-evaluation,complete,CART,85.5324074074074,85.5324074074074,7,4,0.00375991384498775
car-evaluation,complete,CART,86.92129629629629,86.92129629629629,11,6,0.003984369104728103
car-evaluation,complete,CART,89.69907407407408,89.69907407407408,19,10,0.004231027094647288
car-evaluation,complete,CART,92.5925925925926,92.5925925925926,31,16,0.004320929991081357
car-evaluation,complete,BinOCT,71.29629629629629,71.29629629629629,3,2,1.2267959390301257
car-evaluation,complete,BinOCT,85.5324074074074,85.5324074074074,7,4,7.811800311086699
car-evaluation,complete,DL8.5,71.29629629629629,71.29629629629629,3,2,0.004923344822600484
car-evaluation,complete,DL8.5,85.5324074074074,85.5324074074074,5,3,0.010358711937442422
car-evaluation,complete,DL8.5,87.03703703703704,87.03703703703704,9,5,0.1208886499516666
car-evaluation,complete,DL8.5,89.58333333333334,89.58333333333334,17,9,1.7319683639798313
car-evaluation,complete,DL8.5,91.08796296296296,91.08796296296296,41,21,15.350142298033461
car-evaluation,complete,DL8.5,93.98148148148148,93.98148148148148,65,33,91.3768292509485
car-evaluation,complete,GOSDT,70.02314814814815,70.02314814814815,1,1,0.6461680689826608
car-evaluation,complete,GOSDT,70.02314814814815,70.02314814814815,1,1,0.6832668201532215
car-evaluation,complete,GOSDT,70.02314814814815,70.02314814814815,1,1,0.6577248650137335
car-evaluation,complete,GOSDT,70.02314814814815,70.02314814814815,1,1,0.6569608289282769
car-evaluation,complete,GOSDT,70.02314814814815,70.02314814814815,1,1,0.6725201120134443
car-evaluation,complete,GOSDT,85.5324074074074,85.5324074074074,5,3,0.7429530320223421
car-evaluation,complete,GOSDT,85.5324074074074,85.5324074074074,5,3,0.7396732359193265
car-evaluation,complete,GOSDT,85.5324074074074,85.5324074074074,5,3,0.8333714329637587
car-evaluation,complete,GOSDT,85.5324074074074,85.5324074074074,5,3,1.0089766310993582
car-evaluation,complete,GOSDT,85.5324074074074,85.5324074074074,5,3,1.4294656158890575
car-evaluation,complete,GOSDT,85.5324074074074,85.5324074074074,5,3,2.5285977150779217
car-evaluation,complete,GOSDT,92.47685185185185,92.47685185185185,13,7,6.026954517001286
car-evaluation,complete,GOSDT,92.47685185185185,92.47685185185185,13,7,6.668178773950785
car-evaluation,complete,GOSDT,92.47685185185185,92.47685185185185,13,7,7.15206126193516
car-evaluation,complete,GOSDT,92.47685185185185,92.47685185185185,13,7,7.7651237898971885
car-evaluation,complete,GOSDT,93.86574074074075,93.86574074074075,17,9,8.877442211844027
car-evaluation,complete,GOSDT,93.86574074074075,93.86574074074075,17,9,10.208057951880619
car-evaluation,complete,GOSDT,93.86574074074075,93.86574074074075,17,9,12.179702118970454
car-evaluation,complete,GOSDT,95.25462962962963,95.25462962962963,25,13,14.38389871804975
car-evaluation,complete,GOSDT,96.18055555555556,96.18055555555556,33,17,16.548613435821608
car-evaluation,complete,GOSDT,98.37962962962963,98.37962962962963,61,31,20.1163992700167
compas-binary,complete,CART,63.89170406833647,63.89170406833647,3,2,0.006060718093067408
compas-binary,complete,CART,63.89170406833647,63.89170406833647,7,4,0.006224673939868808
compas-binary,complete,CART,66.13580425655132,66.13580425655132,15,8,0.007331209955736995
compas-binary,complete,CART,66.91761980599392,66.91761980599392,31,16,0.008351539028808475
compas-binary,complete,CART,67.03344433183727,67.03344433183727,59,30,0.009092515101656318
compas-binary,complete,CART,67.38091790936731,67.38091790936731,103,52,0.00996736390516162
compas-binary,complete,BinOCT,63.89170406833647,63.89170406833647,3,2,2.3081787161063403
compas-binary,complete,BinOCT,66.22267265093383,66.22267265093383,7,4,7.56333909695968
compas-binary,complete,DL8.5,63.89170406833647,63.89170406833647,3,2,0.006171987857669592
