dataset,discretization,optimization,training_accuracy(%),test_accuracy(%),nodes,leaves,duration(s)
balance-scale,complete,DL8.5,92.16,92.16,3,2,0.16555729089304805
balance-scale,complete,DL8.5,92.16,92.16,3,2,0.1431016051210463
balance-scale,complete,DL8.5,92.32000000000001,92.32000000000001,9,5,1.9226985410787165
balance-scale,complete,DL8.5,92.80000000000001,92.80000000000001,27,14,17.291175117949024
balance-scale,complete,DL8.5,93.76,93.76,59,30,107.68629204295576
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6351217860355973
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6334918269421905
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6325270731467754
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6305190620478243
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6326757620554417
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6975956130772829
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6522316068876535
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6315794428810477
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6524812299758196
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.653782197041437
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.6940981689840555
balance-scale,complete,GOSDT,92.16,92.16,1,1,1.5297351838089526
balance-scale,complete,GOSDT,92.16,92.16,1,1,1.906437274068594
balance-scale,complete,GOSDT,92.16,92.16,1,1,2.855215278919786
balance-scale,complete,GOSDT,92.16,92.16,1,1,3.473687967984006
balance-scale,complete,GOSDT,92.16,92.16,1,1,4.068116968963295
balance-scale,complete,GOSDT,92.16,92.16,1,1,4.9115650278981775
balance-scale,complete,GOSDT,92.16,92.16,1,1,6.492322638863698
balance-scale,complete,GOSDT,92.16,92.16,1,1,7.872415787074715
balance-scale,complete,GOSDT,92.16,92.16,1,1,8.714996237074956
balance-scale,complete,GOSDT,92.16,92.16,1,1,10.807339482940733
monk2-train,complete,DL8.5,66.27218934911244,66.27218934911244,7,4,0.004665048094466329
monk2-train,complete,DL8.5,75.7396449704142,75.7396449704142,13,7,0.038354397052899
monk2-train,complete,DL8.5,81.65680473372781,81.65680473372781,29,15,0.3572830108460039
monk2-train,complete,DL8.5,91.71597633136095,91.71597633136095,55,28,1.777990184025839
monk2-train,complete,DL8.5,100.0,100.0,79,40,2.1133165690116584
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.5854803309775889
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.641882847994566
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.6688039188738912
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.5893743659835309
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.6631298379506916
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.6728592480067164
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.7631956490222365
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.7670187039766461
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.7758348840288818
monk2-train,complete,GOSDT,62.1301775147929,62.1301775147929,1,1,0.6795201729983091
monk2-train,complete,GOSDT,78.10650887573965,78.10650887573965,13,7,0.8036618770565838
monk2-train,complete,GOSDT,93.49112426035504,93.49112426035504,39,20,0.788177375914529
monk2-train,complete,GOSDT,93.49112426035504,93.49112426035504,39,20,0.8586452309973538
monk2-train,complete,GOSDT,95.26627218934911,95.26627218934911,43,22,0.8429433610290289
monk2-train,complete,GOSDT,95.26627218934911,95.26627218934911,43,22,0.8476988968905061
monk2-train,complete,GOSDT,95.26627218934911,95.26627218934911,43,22,0.822252033976838
monk2-train,complete,GOSDT,98.22485207100591,98.22485207100591,53,27,0.9732923218980432
monk2-train,complete,GOSDT,98.22485207100591,98.22485207100591,53,27,0.933573120040819
monk2-train,complete,GOSDT,98.22485207100591,98.22485207100591,53,27,0.9286308749578893
monk2-train,complete,GOSDT,100.0,100.0,65,33,0.9697157552000135
monk2-train,complete,GOSDT,100.0,100.0,65,33,0.9166989768855274
tic-tac-toe,complete,DL8.5,70.56367432150313,70.56367432150313,5,3,0.011791924014687538
tic-tac-toe,complete,DL8.5,77.45302713987473,77.45302713987473,13,7,0.265146492049098
tic-tac-toe,complete,DL8.5,85.69937369519833,85.69937369519833,29,15,4.548789003863931
tic-tac-toe,complete,DL8.5,93.42379958246346,93.42379958246346,49,25,50.3021181919612
tic-tac-toe,complete,DL8.5,98.74739039665971,98.74739039665971,85,43,321.7303287119139
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.560324147110805
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.5762102459557354
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.580511633073911
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.5831635659560561
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.6246184250339866
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.6098483488895
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.655392993008718
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,1.9999235970899463
tic-tac-toe,complete,GOSDT,69.93736951983298,69.93736951983298,3,2,1.9182671220041811
tic-tac-toe,complete,GOSDT,69.93736951983298,69.93736951983298,3,2,2.618329175049439
tic-tac-toe,complete,GOSDT,80.1670146137787,80.1670146137787,11,6,4.9957443659659475
tic-tac-toe,complete,GOSDT,83.92484342379957,83.92484342379957,17,9,14.454784611938521
