dataset,discretization,optimization,training_accuracy(%),test_accuracy(%),nodes,leaves,duration(s)
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.12633026600000008
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.24437235899999976
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.2995839829999998
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.33329091600000016
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.24250313099999943
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.38612749300000004
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.4412909540000012
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.315832125
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.5477859919999997
tic-tac-toe,complete,GOSDT,65.34446764091858,65.34446764091858,1,1,0.9317780139999989
tic-tac-toe,complete,GOSDT,69.93736951983298,69.93736951983298,3,2,1.7436781129999979
tic-tac-toe,complete,GOSDT,69.93736951983298,69.93736951983298,3,2,2.7474521209999985
tic-tac-toe,complete,GOSDT,80.1670146137787,80.1670146137787,11,6,7.911850392999998
tic-tac-toe,complete,GOSDT,83.92484342379957,83.92484342379957,17,9,44.21631321300001
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
tic-tac-toe,complete,GOSDT,-1,-1,-1,-1,1800
