fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,562,16,32,0.33569222409278154,2,2,3,92.17081850533808,92.06349206349206,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
1,562,16,32,0.31272771186195314,2,2,3,92.17081850533808,92.06349206349206,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,562,16,32,0.3099940191023052,2,2,3,92.52669039145907,88.88888888888889,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,562,16,32,0.30696227913722396,2,2,3,91.99288256227757,93.65079365079364,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,562,16,32,0.3105894629843533,2,2,3,92.17081850533808,92.06349206349206,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
5,563,16,32,0.30606055818498135,2,2,3,92.00710479573712,93.54838709677419,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
6,563,16,32,0.3068076679483056,2,2,3,92.36234458259325,90.32258064516128,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
7,563,16,32,0.30358832399360836,2,2,3,92.00710479573712,93.54838709677419,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
8,563,16,32,0.32207488594576716,2,2,3,92.00710479573712,93.54838709677419,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
9,563,16,32,0.3064888301305473,2,2,3,92.1847246891652,91.93548387096774,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,562,16,32,4.502826696028933,3,4,7,92.17081850533808,92.06349206349206,[ $a1_1 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
1,562,16,32,3.9042953411117196,3,4,7,92.17081850533808,92.06349206349206,[ $a1_1 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
2,562,16,32,4.302885022945702,3,4,7,92.52669039145907,88.88888888888889,[ $a1_1 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
