fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,0.00611317902803421,2,2,3,92.2,92.0,[ $a4_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
1,500,16,32,0.002712974790483713,2,2,3,92.4,91.2,[ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,500,16,32,0.0026700859889388084,2,2,3,92.0,92.80000000000001,[ $a4_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,500,16,32,0.002758034970611334,2,2,3,92.2,92.0,[ $a3_4 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,500,16,32,0.0028455336578190327,2,2,3,92.0,92.80000000000001,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,500,16,32,0.002875305712223053,3,4,7,92.2,92.0,[ $a4_1 \eq 1$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
1,500,16,32,0.002933977171778679,3,4,7,92.4,91.2,[ $a4_2 \eq 0$ [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
2,500,16,32,0.0028392416425049305,3,4,7,92.0,92.80000000000001,[ $a3_3 \eq 0$ [ $a2_3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
3,500,16,32,0.002777824178338051,3,4,7,92.2,92.0,[ $a4_4 \eq 0$ [ $a2_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
4,500,16,32,0.0028726859018206596,3,4,7,92.0,92.80000000000001,[ $a4_2 \eq 0$ [ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a4_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
0,500,16,32,0.0030784020200371742,4,8,15,92.2,92.0,[ $a4_1 \eq 1$ [ $a3_1 \eq 0$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_1 \eq 1$ [ $a3_4 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
1,500,16,32,0.002898730803281069,4,8,15,92.4,91.2,[ $a4_2 \eq 1$ [ $a2_2 \eq 0$ [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_2 \eq 1$ [ $a3_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
2,500,16,32,0.002918737940490246,4,7,13,92.0,92.80000000000001,[ $a3_3 \eq 1$ [ $a4_3 \eq 1$ [ $a2_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_3 \eq 1$ [ $class$ [ $0$ ] ] [ $a4_3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
3,500,16,32,0.0029570460319519043,4,8,15,92.2,92.0,[ $a4_4 \eq 0$ [ $a2_4 \eq 1$ [ $a3_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a3_4 \eq 1$ [ $a2_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
