fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,0.00989605113863945,2,2,3,92.2,92.0,[ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
1,500,16,32,0.006834367755800486,2,2,3,92.4,91.2,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,500,16,32,0.006721013691276312,2,2,3,92.0,92.80000000000001,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,500,16,32,0.006712825037539005,2,2,3,92.2,92.0,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,500,16,32,0.007614812348037958,2,2,3,92.0,92.80000000000001,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,500,16,32,0.10767174186185002,2,2,3,92.2,92.0,[ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
1,500,16,32,0.10760734602808952,2,2,3,92.4,91.2,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,500,16,32,0.10780417127534747,2,2,3,92.0,92.80000000000001,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,500,16,32,0.10834538703784347,2,2,3,92.2,92.0,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,500,16,32,0.1335425917059183,2,2,3,92.0,92.80000000000001,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,500,16,32,1.344466172158718,5,5,9,92.4,92.0,[ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a3_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
1,500,16,32,1.3547485768795013,5,5,9,92.60000000000001,91.2,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a3_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a4_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
