fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,0.1395752290263772,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.1414372310973704,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.13881336618214846,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.1566953221336007,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.1388462889008224,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.13888371270149946,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.1398696261458099,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.1380434432066977,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.14009184716269374,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.15156768821179867,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.15530436765402555,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.13807438500225544,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.14916976308450103,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.13830617256462574,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.1387756010517478,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.1384802171960473,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.1389990020543337,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.13812909182161093,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.13891425915062428,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.15293870493769646,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.15311522129923105,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.13874884694814682,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.15283939521759748,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.13841059803962708,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.13935006503015757,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.1380193498916924,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.13981197401881218,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.13859591586515307,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.13911969494074583,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.1383236008696258,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.1394830928184092,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.13885691668838263,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.13961809128522873,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.13859149208292365,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.138506636954844,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.1385134649462998,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.1389833800494671,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.13876175787299871,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.13962884107604623,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.13896227395161986,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.14424410788342357,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.14431160129606724,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.1422994751483202,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.14290947606787086,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.14195866417139769,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.21438099909573793,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.18325658608227968,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.25646628392860293,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.21299090282991529,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.3614982459694147,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,301.8901814939454,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,302.00678587984294,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,301.0524976309389,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,302.0185063141398,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,301.8006610213779,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,302.5091649154201,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,301.0570439309813,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,303.76983223482966,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,302.6781795960851,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
