fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1382,15,30,0.8963651349768043,2,2,3,71.56295224312589,70.23121387283237,[ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,1382,15,30,0.6731928796507418,2,2,3,70.83936324167873,73.121387283237,[ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,1382,15,30,0.6842460776679218,2,2,3,70.83936324167873,66.76300578034682,[ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.8692208887077868,2,2,3,72.45119305856834,60.28985507246377,[ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,1383,15,30,0.825817896053195,2,2,3,73.24656543745482,57.10144927536231,[ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,1382,15,30,5.381151552777737,3,4,7,90.01447178002894,67.63005780346822,[ $a4_2 \eq 1$ [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
1,1382,15,30,6.145897713955492,3,4,7,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a2_low \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1382,15,30,8.818523325957358,3,4,7,84.65991316931982,89.01734104046243,[ $a4_2 \eq 1$ [ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
3,1383,15,30,7.744526898954064,3,4,7,83.15256688358642,95.07246376811594,[ $a4_2 \eq 0$ [ $a1_med \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,1383,15,30,6.904845827259123,3,4,7,83.51409978308027,77.97101449275362,[ $a4_2 \eq 1$ [ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a6_low \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
0,1382,15,30,302.904970606789,4,8,15,91.31693198263386,67.63005780346822,[ $a4_2 \eq 0$ [ $a2_med \eq 0$ [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a4_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a1_high \eq 0$ [ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
1,1382,15,30,302.9417178193107,4,8,15,87.62662807525325,79.47976878612717,[ $a3_2 \eq 0$ [ $a6_low \eq 1$ [ $a4_4 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_low \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a4_4 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
