fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1382,15,30,0.00597799988463521,2,2,3,67.8726483357453,45.08670520231214,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,1382,15,30,0.0031057638116180897,2,2,3,68.16208393632417,77.45664739884393,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.003145925235003233,2,2,3,70.83936324167873,66.76300578034682,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.003162138629704714,2,2,3,72.45119305856834,60.28985507246377,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,1383,15,30,0.0031253532506525517,2,2,3,73.24656543745482,57.10144927536231,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,1382,15,30,0.0034091463312506676,3,3,5,90.01447178002894,67.63005780346822,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.0033379383385181427,3,3,5,87.33719247467438,78.32369942196532,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.003397837281227112,3,3,5,84.65991316931982,89.01734104046243,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.003395342268049717,3,3,5,83.15256688358642,95.07246376811594,[ $a4_2 \eq 1$ [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
4,1383,15,30,0.003315068781375885,3,3,5,82.50180766449748,97.68115942028986,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,1382,15,30,0.003544920589774847,4,4,7,90.01447178002894,67.63005780346822,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 1$ [ $a1_high \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
1,1382,15,30,0.0034806993789970875,4,4,7,87.33719247467438,78.32369942196532,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $a1_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.0035429210402071476,4,4,7,84.65991316931982,89.01734104046243,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $a1_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.003571686800569296,4,4,7,83.15256688358642,95.07246376811594,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a6_low \eq 1$ [ $a1_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
4,1383,15,30,0.003471655771136284,4,4,7,83.08026030368764,57.10144927536231,[ $a4_2 \eq 1$ [ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a1_med \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ]
0,1382,15,30,0.003696782048791647,5,6,11,91.31693198263386,67.63005780346822,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_high \eq 0$ [ $a6_high \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
1,1382,15,30,0.003675599116832018,5,6,11,89.29088277858177,77.45664739884393,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_low \eq 1$ [ $a1_med \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.003935160115361214,5,6,11,89.65267727930537,76.01156069364163,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_low \eq 1$ [ $a1_med \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.0036438582465052605,5,6,11,87.70788141720897,80.8695652173913,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a1_low \eq 0$ [ $a3_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
4,1383,15,30,0.0036901109851896763,5,6,11,86.55097613882863,69.85507246376812,[ $a4_2 \eq 1$ [ $a6_low \eq 1$ [ $a1_med \eq 1$ [ $a2_med \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a6_high \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
0,1382,15,30,0.0039686220698058605,6,9,17,92.47467438494935,67.63005780346822,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_high \eq 0$ [ $a6_high \eq 1$ [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $a6_high \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
1,1382,15,30,0.0037974147126078606,6,10,19,92.54703328509407,78.32369942196532,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_low \eq 0$ [ $a3_2 \eq 0$ [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a6_high \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a1_med \eq 0$ [ $a6_high \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_med \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.0037677930667996407,6,10,19,91.60636758321273,82.08092485549133,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $a1_low \eq 1$ [ $a1_med \eq 1$ [ $a2_med \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a3_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a3_2 \eq 1$ [ $a6_high \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.003761542961001396,6,10,19,89.73246565437455,86.66666666666667,[ $a4_2 \eq 1$ [ $a6_low \eq 1$ [ $a1_low \eq 1$ [ $a6_high \eq 0$ [ $a2_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_big \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a3_2 \eq 1$ [ $a6_high \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a4_4 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
4,1383,15,30,0.0037847920320928097,6,10,19,90.02169197396964,82.6086956521739,[ $a4_2 \eq 1$ [ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a1_med \eq 0$ [ $a6_high \eq 1$ [ $a5_big \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_low \eq 1$ [ $a2_med \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a6_high \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $class$ [ $0$ ] ] ]
0,1382,15,30,0.003981354180723429,7,15,29,92.61939218523878,75.14450867052022,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_high \eq 0$ [ $a6_high \eq 1$ [ $a5_big \eq 0$ [ $a2_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_med \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_med \eq 1$ [ $a2_high \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $a5_big \eq 1$ [ $a6_high \eq 1$ [ $a5_med \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.004105923697352409,7,16,31,94.42836468885673,85.26011560693641,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 1$ [ $a1_low \eq 0$ [ $a3_2 \eq 0$ [ $a5_big \eq 1$ [ $a5_med \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $a6_high \eq 1$ [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ] [ $a1_med \eq 0$ [ $a6_high \eq 0$ [ $a3_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_med \eq 0$ [ $a6_high \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_low \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $class$ [ $0$ ] ] ] ]
2,1382,15,30,0.0039027519524097443,7,16,31,93.56005788712012,87.57225433526011,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 1$ [ $a1_low \eq 1$ [ $a1_med \eq 1$ [ $a2_med \eq 0$ [ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_low \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a3_2 \eq 1$ [ $a2_high \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a4_4 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $a3_2 \eq 0$ [ $a5_big \eq 1$ [ $a5_med \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $a6_high \eq 0$ [ $class$ [ $1$ ] ] [ $a5_big \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $class$ [ $0$ ] ] ] ]
