fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1382,15,30,0.14721269393339753,1,1,1,65.41244573082489,88.4393063583815,[ $class$ [ $0$ ] ]
1,1382,15,30,0.14859982300549746,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ]
2,1382,15,30,0.14870512299239635,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.14751454582437873,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.1484939199872315,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.1668347232043743,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.17116820998489857,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ]
2,1382,15,30,0.15706568816676736,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.1541525898501277,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.1553514888510108,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.17735675629228354,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.1775082848034799,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.1683791079558432,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.16601657774299383,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.15913983900099993,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.1879284167662263,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.18852835288271308,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.17856884328648448,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.1734361439011991,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.1800495903007686,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.21764982398599386,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.20775406807661057,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.21674022218212485,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.19881677674129605,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.19446260714903474,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.27116010105237365,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.2696772129274905,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.25243753008544445,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.23527053091675043,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.2510055601596832,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.34295120323076844,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.3609824744053185,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.33850707206875086,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.3197663580067456,3,3,5,83.15256688358642,95.07246376811594,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
4,1383,15,30,0.3088912251405418,3,3,5,83.51409978308027,77.97101449275362,[ $a4_2 \eq 0$ [ $a6_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
0,1382,15,30,0.5190374753437936,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.5272795991040766,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.5049893059767783,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
3,1383,15,30,0.4724693428725004,3,3,5,83.15256688358642,95.07246376811594,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
4,1383,15,30,0.4826437886804342,3,3,5,83.51409978308027,77.97101449275362,[ $a4_2 \eq 0$ [ $a6_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
0,1382,15,30,0.8549057310447097,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.891066515352577,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
