fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1382,15,30,0.5135076432488859,1,1,1,65.41244573082489,88.4393063583815,[ $class$ [ $0$ ] ]
1,1382,15,30,0.5171293336898088,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ]
2,1382,15,30,0.507597406860441,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.5197505839169025,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.5119062210433185,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.5191697608679533,3,3,5,90.01447178002894,67.63005780346822,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.5473608733154833,3,3,5,87.33719247467438,78.32369942196532,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,1382,15,30,0.5224503148347139,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.521034084726125,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.5273625468835235,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.5494983089156449,3,3,5,90.01447178002894,67.63005780346822,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.5427103680558503,3,3,5,87.33719247467438,78.32369942196532,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.5507712657563388,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.5388546851463616,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.5214033150114119,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.5451106992550194,3,3,5,90.01447178002894,67.63005780346822,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,1382,15,30,0.5603492730297148,3,3,5,87.33719247467438,78.32369942196532,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,0.6016729809343815,3,3,5,84.65991316931982,89.01734104046243,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,1383,15,30,0.5483812149614096,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.5603094967082143,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.5469261319376528,3,3,5,90.01447178002894,67.63005780346822,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.5626597781665623,3,3,5,87.33719247467438,78.32369942196532,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1382,15,30,4.072753896005452,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2 \eq 1$ [ $class$ [ $0$ ] ] [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,1383,15,30,3.8891430939547718,3,3,5,83.15256688358642,95.07246376811594,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,1383,15,30,3.430665960069746,3,3,5,72.30657989877078,67.2463768115942,[ $a6_high \eq 1$ [ $class$ [ $1$ ] ] [ $a4_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
