fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,0.15894040511921048,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.004272697027772665,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.004302455112338066,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.0043093012645840645,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.004572953097522259,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,5525,12,24,0.013683496974408627,3,4,7,65.84615384615384,67.29377713458756,[ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,5525,12,24,0.012602929025888443,3,4,7,66.33484162895927,65.34008683068018,[ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,5526,12,24,0.012872249353677034,3,4,7,66.6304741223308,64.59087617668357,[ $age:<26 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,5526,12,24,0.012766299769282341,3,4,7,66.3590300398118,65.67704561911658,[ $age:<26 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,5526,12,24,0.0127340042963624,3,4,7,66.1961635903004,66.3287472845764,[ $age:<26 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,5525,12,24,0.16794509813189507,4,7,13,66.73303167420815,67.80028943560058,[ $juvenile-crimes:=0 \eq 0$ [ $age:<26 \eq 0$ [ $priors:=1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
1,5525,12,24,0.16607766598463058,4,8,15,67.58371040723982,65.19536903039074,[ $priors:2-3 \eq 0$ [ $age:<21 \eq 1$ [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $juvenile-crimes:=0 \eq 0$ [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
2,5526,12,24,0.16650729719549417,4,7,13,67.53528773072746,64.66328747284577,[ $juvenile-crimes:=0 \eq 0$ [ $sex:Female \eq 1$ [ $priors:=1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
3,5526,12,24,0.1705306749790907,4,7,13,66.81143684401013,66.908037653874,[ $age:<26 \eq 0$ [ $juvenile-felonies:=0 \eq 1$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $priors:=1 \eq 0$ [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
