fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,0.07905845483765006,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.07492471765726805,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.07571754511445761,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.07623328687623143,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.0755824139341712,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.07650153106078506,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.07609096588566899,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.07673071324825287,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.07709619496017694,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.07793200388550758,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,5525,12,24,0.0764468489214778,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.07629256322979927,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.08101829420775175,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.075742332264781,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.07728796591982245,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,5525,12,24,0.07988334307447076,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.07825389411300421,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.07811532914638519,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.07642713841050863,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.07562864199280739,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,5525,12,24,0.07498991210013628,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.07548539433628321,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.07675922103226185,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.07877851510420442,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.07783880224451423,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,5525,12,24,0.09003098728135228,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.08523054467514157,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.07680004881694913,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.07644040696322918,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.0750360731035471,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
