fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,0.24704135162755847,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.24495985032990575,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.24354221485555172,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.2422636509872973,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.24376701191067696,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.2500959588214755,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.24585906602442265,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.2510425001382828,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.2467581140808761,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.25054432824254036,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.2425687350332737,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.24889379367232323,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.24876989191398025,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.24648498883470893,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.2483102548867464,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.23779565002769232,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.24493228876963258,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.24648247938603163,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.24515917478129268,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.2499254560098052,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.24691106006503105,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.2509971200488508,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.24579705903306603,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.24748909007757902,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.2530604721978307,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.24952526995912194,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.25195081904530525,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.25319412630051374,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.2530859373509884,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.2531884480267763,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.25199820194393396,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.25313151301816106,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.2514943880960345,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.2534918221645057,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.25158887496218085,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.2486644247546792,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.30637974198907614,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.2552167517133057,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.25163034722208977,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.2508595329709351,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.3759592557325959,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.3532583462074399,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
