fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,8367,17,34,0.17137650214135647,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,8367,17,34,0.007632681168615818,2,2,3,69.60678857416039,68.69024856596559,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,8367,17,34,0.009190969169139862,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,8367,17,34,0.0072021931409835815,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,8368,17,34,0.007988482248038054,2,2,3,69.39531548757171,69.53610712577714,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,8367,17,34,0.03853441681712866,3,4,7,71.8656627226007,64.1491395793499,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,8367,17,34,0.036618636921048164,3,4,7,71.14855981833394,71.08030592734225,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,8367,17,34,0.037896478082984686,3,4,7,70.81391179634278,72.4187380497132,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,8367,17,34,0.03687590593472123,3,4,7,71.29198039918728,70.50669216061185,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
4,8368,17,34,0.03708287328481674,3,4,7,71.1281070745698,71.16212338593975,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
0,8367,17,34,0.8631278928369284,4,8,15,72.79789649814748,64.19694072657744,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeOpenTime<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
1,8367,17,34,0.8439080999232829,4,8,15,71.92542129795626,70.74569789674953,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
2,8367,17,34,0.8558551911264658,4,8,15,71.42344926496952,72.80114722753346,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeWBalance<0.33 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
3,8367,17,34,0.8685269886627793,4,8,15,71.8656627226007,70.74569789674953,[ $TradeWBalance<0.33 \eq 0$ [ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $Inquiry<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
4,8368,17,34,0.8432646398432553,4,8,15,71.66586998087953,71.87948350071736,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeWBalance<0.33 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
0,8367,17,34,14.209461823105812,5,15,29,73.50304768734314,64.5793499043977,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $TradeFrequency<0.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $RevolvingBalance<0.6 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $TradeOpenTime<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Installment<0.7 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
1,8367,17,34,13.784988116007298,5,15,29,72.67837934743636,70.93690248565966,[ $Inquiry<0.75 \eq 1$ [ $RevolvingBalance<0.6 \eq 0$ [ $TradeFrequency<0.45 \eq 1$ [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Installment<0.5 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $ExternalRiskEstimate<0.49 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $TradeFrequency<0.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
2,8367,17,34,13.836357569787651,5,15,29,72.11664873909406,72.131931166348,[ $NumSatisfactoryTrades<0.5 \eq 1$ [ $RevolvingBalance<0.6 \eq 1$ [ $RevolvingBalance<0.4 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $ExternalRiskEstimate<0.49 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $Inquiry<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $Inquiry<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Utilization<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
3,8367,17,34,13.823002709075809,5,16,31,72.51105533644078,70.26768642447419,[ $Inquiry<0.75 \eq 0$ [ $TradeOpenTime<0.6 \eq 1$ [ $RevolvingBalance<0.6 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $RevolvingBalance<0.6 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
4,8368,17,34,13.977148992940784,5,15,29,72.26338432122371,72.2620755619321,[ $Inquiry<0.75 \eq 1$ [ $Utilization<0.6 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $TradeFrequency<0.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $ExternalRiskEstimate<0.49 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $TradeFrequency<0.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $RevolvingBalance<0.6 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
0,8367,17,34,156.61052682204172,6,30,59,74.22015059160991,64.67495219885278,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $TradeOpenTime<0.6 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 1$ [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $RevolvingBalance<0.4 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $RevolvingBalance<0.4 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $class$ [ $0$ ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $Installment<0.5 \eq 0$ [ $TradeOpenTime<0.6 \eq 0$ [ $TradeOpenTime<0.85 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $Delinquency<0.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $TradeFrequency<0.6 \eq 0$ [ $RevolvingBalance<0.6 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
1,8367,17,34,153.53529404988512,6,30,59,73.40743396677422,70.60229445506691,[ $Inquiry<0.75 \eq 0$ [ $TradeOpenTime<0.6 \eq 1$ [ $RevolvingBalance<0.6 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $Delinquency<0.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $ExternalRiskEstimate<0.49 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $TradeFrequency<0.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $TradeFrequency<0.6 \eq 0$ [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $RevolvingBalance<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ] [ $Installment<0.5 \eq 0$ [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
2,8367,17,34,150.45083850901574,6,31,61,72.92936536392972,72.03632887189293,[ $Inquiry<0.75 \eq 0$ [ $NumSatisfactoryTrades<0.5 \eq 1$ [ $Delinquency<0.55 \eq 0$ [ $RevolvingBalance<0.4 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $RevolvingBalance<0.6 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $TradeOpenTime<0.6 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeWBalance<0.33 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $TradeOpenTime<0.6 \eq 0$ [ $RevolvingBalance<0.4 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Installment<0.5 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $RevolvingBalance<0.4 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Utilization<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $Delinquency<0.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
3,8367,17,34,153.97109462693334,6,29,57,73.22815824070754,70.93690248565966,[ $Inquiry<0.75 \eq 1$ [ $RevolvingBalance<0.6 \eq 1$ [ $Delinquency<0.75 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Installment<0.5 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ] [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $Utilization<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $TradeOpenTime<0.6 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $TradeWBalance<0.33 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Utilization<0.6 \eq 0$ [ $TradeFrequency<0.6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $TradeOpenTime<0.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $TradeFrequency<0.6 \eq 0$ [ $RevolvingBalance<0.4 \eq 0$ [ $TradeWBalance<0.33 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $RevolvingBalance<0.6 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
