fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,99,11,22,0.03237667586654425,2,2,3,74.74747474747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,99,11,22,0.036102712620049715,1,1,1,57.57575757575758,20.0,[ $class$ [ $1$ ] ]
2,99,11,22,0.034035720862448215,2,2,3,77.77777777777779,56.00000000000001,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,99,11,22,0.035717401187866926,1,1,1,50.505050505050505,48.0,[ $class$ [ $1$ ] ]
4,100,11,22,0.047451488208025694,2,2,3,80.0,45.83333333333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,99,11,22,0.05401514982804656,2,2,3,74.74747474747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,99,11,22,0.04913887707516551,1,1,1,57.57575757575758,20.0,[ $class$ [ $1$ ] ]
2,99,11,22,0.05272155022248626,2,2,3,77.77777777777779,56.00000000000001,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,99,11,22,0.05328931100666523,3,3,5,79.7979797979798,56.00000000000001,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
4,100,11,22,300.0223357961513,2,2,3,80.0,45.83333333333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,99,11,22,0.030334167182445526,2,2,3,74.74747474747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,99,11,22,0.02838824689388275,4,5,9,93.93939393939394,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
