fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,97,11,22,0.023487825877964497,1,1,1,56.70103092783505,28.000000000000004,[ $class$ [ $0$ ] ]
1,97,11,22,0.023489512968808413,1,1,1,51.546391752577314,40.0,[ $class$ [ $1$ ] ]
2,98,11,22,0.023534410633146763,1,1,1,53.06122448979592,41.66666666666667,[ $class$ [ $0$ ] ]
3,98,11,22,0.02351093338802457,1,1,1,53.06122448979592,33.33333333333333,[ $class$ [ $1$ ] ]
4,98,11,22,0.023878710810095072,1,1,1,51.02040816326531,41.66666666666667,[ $class$ [ $1$ ] ]
0,97,11,22,0.04173964262008667,2,2,3,71.1340206185567,52.0,[ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,97,11,22,0.965330152772367,3,3,5,74.22680412371135,92.0,[ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,98,11,22,0.0422558537684381,3,3,5,64.28571428571429,50.0,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
3,98,11,22,1.2346711498685181,2,2,3,67.3469387755102,66.66666666666666,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,98,11,22,1.5062478058971465,3,3,5,63.26530612244898,83.33333333333334,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
0,97,11,22,1.5865622349083424,2,2,3,71.1340206185567,52.0,[ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,97,11,22,1.4218589179217815,3,3,5,74.22680412371135,92.0,[ $a2_1 \eq 0$ [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
2,98,11,22,0.043596870731562376,3,3,5,82.6530612244898,58.333333333333336,[ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,98,11,22,1.6375742978416383,3,3,5,56.12244897959183,83.33333333333334,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
