fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,766,18,36,0.17293734615668654,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,0.002933369018137455,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,0.0027524009346961975,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
0,766,18,36,0.011528569739311934,3,4,7,73.23759791122716,44.79166666666667,[ $Feat8_x \eq 0$ [ $Feat4_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat1_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,766,18,36,0.009756512939929962,3,4,7,71.14882506527415,47.39583333333333,[ $Feat1_x \eq 0$ [ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat0_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,766,18,36,0.00972473667934537,3,3,5,70.10443864229765,65.10416666666666,[ $Feat0_x \eq 0$ [ $Feat4_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
3,767,18,36,0.009339045267552137,3,3,5,81.48631029986963,26.701570680628272,[ $Feat0_x \eq 0$ [ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
4,767,18,36,0.009962120093405247,3,3,5,82.65971316818775,15.18324607329843,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $Feat6_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
