fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,766,18,36,0.12019537994638085,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
1,766,18,36,0.11979030584916472,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,0.11493221810087562,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,0.11685549607500434,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.13165320316329598,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.15172721864655614,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,0.1529876571148634,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,0.14405068894848228,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.1183424680493772,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.11648976802825928,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.15180676197633147,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,0.1624705963768065,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,0.16181998001411557,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.12546179629862309,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.11725029908120632,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.17112160474061966,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,0.18646115995943546,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,0.1769015141762793,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.1341727338731289,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.12095463881269097,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.19423760194331408,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,0.20331750996410847,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,0.20618942799046636,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.1392679288983345,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.12016490800306201,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.26471713092178106,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,0.2788016824051738,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
