fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,766,18,36,0.28189841704443097,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
1,766,18,36,0.2755137197673321,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,0.27450253209099174,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,0.27019235072657466,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.2695117271505296,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.2770307883620262,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,8.616522355005145,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,8.06662837183103,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.2762649110518396,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.26996242394670844,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,10.521079995203763,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,10.835743406787515,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,10.50784325459972,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.27739070914685726,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.27631956432014704,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,13.130832656286657,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,13.670055427122861,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,13.263053318951279,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.2766561978496611,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.27503658505156636,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,16.641694443766028,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,17.870874215848744,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,17.551468365825713,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.2998077291995287,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.2804827503859997,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,23.16906171105802,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,111.64071448286995,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,766,18,36,153.50950392102823,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,7.82198344822973,3,3,5,70.79530638852673,66.49214659685863,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $Feat0_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
4,767,18,36,0.2798283528536558,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,300.19503696030006,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,300.4344055741094,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
