Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
bar-7,complete,1,1913,5,14,cart,1,2,None,300,leviathan,1,0,1530,14,28,0.003122088034,2,2,3,64.83660131,63.7075718,[ $Bar0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
bar-7,complete,1,1913,5,14,cart,1,2,None,300,leviathan,1,1,1530,14,28,0.003014137968,2,2,3,65.4248366,61.35770235,[ $Bar0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,cart,1,2,None,300,leviathan,1,2,1530,14,28,0.003095747903,2,2,3,64.37908497,65.53524804,[ $Bar0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
bar-7,complete,1,1913,5,14,cart,1,2,None,300,leviathan,1,3,1531,14,28,0.002990139183,2,2,3,64.07576747,66.7539267,[ $Bar0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
bar-7,complete,1,1913,5,14,cart,1,2,None,300,leviathan,1,4,1531,14,28,0.003041842952,2,2,3,65.18615284,54.45026178,[ $Bar1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
bar-7,complete,1,1913,5,14,cart,2,4,None,300,leviathan,1,0,1530,14,28,0.003188501112,3,4,7,68.62745098,69.71279373,[ $Bar0 \eq 1$ [ $Bar1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Restaurant20to50 \ge 4 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
bar-7,complete,1,1913,5,14,cart,2,4,None,300,leviathan,1,1,1530,14,28,0.003238613717,3,4,7,69.93464052,67.62402089,[ $Bar0 \eq 1$ [ $Bar1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $passanger2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,cart,2,4,None,300,leviathan,1,2,1530,14,28,0.003219107166,3,4,7,69.34640523,69.97389034,[ $Bar0 \eq 1$ [ $Bar1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $passanger2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
bar-7,complete,1,1913,5,14,cart,2,4,None,300,leviathan,1,3,1531,14,28,0.003146572039,3,4,7,68.90920967,71.72774869,[ $Bar0 \eq 0$ [ $passanger2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,cart,2,4,None,300,leviathan,1,4,1531,14,28,0.003231108189,3,4,7,69.2357936,67.27748691,[ $Bar1 \eq 1$ [ $Bar0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $direction_same \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
