Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
bar-7,complete,1,1913,5,14,dl85,1,None,None,300,leviathan,1,0,1530,14,28,0.002493340988,2,2,3,64.83660131,63.7075718,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,dl85,1,None,None,300,leviathan,1,1,1530,14,28,0.002408595756,2,2,3,65.4248366,61.35770235,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,dl85,1,None,None,300,leviathan,1,2,1530,14,28,0.001941198949,2,2,3,64.37908497,65.53524804,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,dl85,1,None,None,300,leviathan,1,3,1531,14,28,0.002236824948,2,2,3,64.07576747,66.7539267,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,dl85,1,None,None,300,leviathan,1,4,1531,14,28,0.002278431784,2,2,3,65.18615284,54.45026178,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,dl85,2,None,None,300,leviathan,1,0,1530,14,28,0.003548008855,3,4,7,69.34640523,69.97389034,[ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,2,None,None,300,leviathan,1,1,1530,14,28,0.003524774686,3,4,7,69.93464052,67.62402089,[ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,2,None,None,300,leviathan,1,2,1530,14,28,0.002965787891,3,4,7,69.34640523,69.97389034,[ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,2,None,None,300,leviathan,1,3,1531,14,28,0.00363816414,3,4,7,68.90920967,71.72774869,[ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,2,None,None,300,leviathan,1,4,1531,14,28,0.003484601155,3,4,7,69.82364468,68.06282723,[ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,3,None,None,300,leviathan,1,0,1530,14,28,0.0140377772,4,8,15,70.71895425,70.23498695,[ $Bar0  \eq  1$ [ $age0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Bar1  \eq  1$ [ $age3  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,3,None,None,300,leviathan,1,1,1530,14,28,0.01495419117,4,8,15,71.50326797,69.45169713,[ $Bar3  \eq  1$ [ $age4  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,3,None,None,300,leviathan,1,2,1530,14,28,0.0134088709,4,7,13,70.98039216,69.97389034,[ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $Bar2  \eq  1$ [ $age2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
bar-7,complete,1,1913,5,14,dl85,3,None,None,300,leviathan,1,3,1531,14,28,0.01387018478,4,8,15,71.52188112,69.37172775,[ $Bar3  \eq  1$ [ $age4  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $Bar0  \eq  1$ [ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
