Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
bar-7,complete,1,1913,5,14,gosdt,None,None,0.5,300,leviathan,1,0,1530,14,28,0,1,1,1,60.65359477,51.43603133,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.5,300,leviathan,1,1,1530,14,28,0,1,1,1,59.21568627,57.18015666,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.5,300,leviathan,1,2,1530,14,28,0,1,1,1,56.33986928,68.66840731,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.5,300,leviathan,1,3,1531,14,28,0,1,1,1,57.54408883,63.87434555,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.5,300,leviathan,1,4,1531,14,28,0,1,1,1,60.28739386,52.87958115,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.25,300,leviathan,1,0,1530,14,28,0,1,1,1,60.65359477,51.43603133,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.25,300,leviathan,1,1,1530,14,28,0,1,1,1,59.21568627,57.18015666,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.25,300,leviathan,1,2,1530,14,28,0,1,1,1,56.33986928,68.66840731,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.25,300,leviathan,1,3,1531,14,28,0,1,1,1,57.54408883,63.87434555,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,gosdt,None,None,0.25,300,leviathan,1,4,1531,14,28,0,1,1,1,60.28739386,52.87958115,[ $class$ [ $0$ ] ],
