Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
bar-7,complete,1,1913,5,14,osdt,None,None,0.5,300,leviathan,1,0,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.5,300,leviathan,1,1,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.5,300,leviathan,1,2,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.5,300,leviathan,1,3,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.5,300,leviathan,1,4,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.25,300,leviathan,1,0,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.25,300,leviathan,1,1,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.25,300,leviathan,1,2,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.25,300,leviathan,1,3,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.25,300,leviathan,1,4,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.125,300,leviathan,1,0,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.125,300,leviathan,1,1,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.125,300,leviathan,1,2,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.125,300,leviathan,1,3,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.125,300,leviathan,1,4,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.0625,300,leviathan,1,0,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.0625,300,leviathan,1,1,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.0625,300,leviathan,1,2,1530,14,28,0.06679794984,2,2,3,64.37908497,65.53524804,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,osdt,None,None,0.0625,300,leviathan,1,3,1531,14,28,0.07451758767,2,2,3,64.07576747,66.7539267,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,osdt,None,None,0.0625,300,leviathan,1,4,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,osdt,None,None,0.03125,300,leviathan,1,0,1530,14,28,0.2011870663,3,3,5,68.62745098,69.71279373,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,osdt,None,None,0.03125,300,leviathan,1,1,1530,14,28,0.2099247039,3,3,5,69.47712418,66.31853786,[ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
