Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.5,300,leviathan,1,0,1530,14,28,0.03449831204,1,1,1,60.65359477,51.43603133,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.5,300,leviathan,1,1,1530,14,28,0.03047861811,1,1,1,59.21568627,57.18015666,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.5,300,leviathan,1,2,1530,14,28,0.03167936904,1,1,1,56.33986928,68.66840731,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.5,300,leviathan,1,3,1531,14,28,0.03068726882,1,1,1,57.54408883,63.87434555,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.5,300,leviathan,1,4,1531,14,28,0.04507232504,1,1,1,60.28739386,52.87958115,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.25,300,leviathan,1,0,1530,14,28,0.03948307503,1,1,1,60.65359477,51.43603133,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.25,300,leviathan,1,1,1530,14,28,0.03755349759,1,1,1,59.21568627,57.18015666,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.25,300,leviathan,1,2,1530,14,28,0.05334347673,1,1,1,56.33986928,68.66840731,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.25,300,leviathan,1,3,1531,14,28,0.03074223222,1,1,1,57.54408883,63.87434555,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.25,300,leviathan,1,4,1531,14,28,0.0339828711,1,1,1,60.28739386,52.87958115,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.125,300,leviathan,1,0,1530,14,28,0.05558235804,1,1,1,60.65359477,51.43603133,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.125,300,leviathan,1,1,1530,14,28,0.06639061496,1,1,1,59.21568627,57.18015666,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.125,300,leviathan,1,2,1530,14,28,0.112617909,1,1,1,56.33986928,68.66840731,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.125,300,leviathan,1,3,1531,14,28,0.0701335012,1,1,1,57.54408883,63.87434555,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.125,300,leviathan,1,4,1531,14,28,0.05728974426,1,1,1,60.28739386,52.87958115,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.0625,300,leviathan,1,0,1530,14,28,1.53790202,1,1,1,60.65359477,51.43603133,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.0625,300,leviathan,1,1,1530,14,28,2.461934933,1,1,1,59.21568627,57.18015666,[ $class$ [ $0$ ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.0625,300,leviathan,1,2,1530,14,28,2.211095391,2,2,3,64.37908497,65.53524804,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.0625,300,leviathan,1,3,1531,14,28,4.08843656,2,2,3,64.07576747,66.7539267,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.0625,300,leviathan,1,4,1531,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.03125,300,leviathan,1,0,1530,14,28,-1,-1,-1,-1,-1,-1,NA,
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.03125,300,leviathan,1,1,1530,14,28,19.91302472,3,3,5,69.47712418,66.31853786,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_9  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.03125,300,leviathan,1,2,1530,14,28,23.32825845,3,3,5,68.82352941,68.92950392,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_9  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
bar-7,complete,1,1913,5,14,pygosdt,None,None,0.03125,300,leviathan,1,3,1531,14,28,21.70201521,3,3,5,68.06009144,71.9895288,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_9  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
