Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.5,300,leviathan,1,0,1382,15,30,0,1,1,1,65.41244573,88.43930636,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.5,300,leviathan,1,1,1382,15,30,0,1,1,1,68.16208394,77.4566474,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.5,300,leviathan,1,2,1382,15,30,0,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.5,300,leviathan,1,3,1383,15,30,0,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.5,300,leviathan,1,4,1383,15,30,0,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.25,300,leviathan,1,0,1382,15,30,0.002,1,1,1,65.41244573,88.43930636,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.25,300,leviathan,1,1,1382,15,30,0.002,1,1,1,68.16208394,77.4566474,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.25,300,leviathan,1,2,1382,15,30,0.002,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.25,300,leviathan,1,3,1383,15,30,0.002,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.25,300,leviathan,1,4,1383,15,30,0.002,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.125,300,leviathan,1,0,1382,15,30,0.033,1,1,1,65.41244573,88.43930636,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.125,300,leviathan,1,1,1382,15,30,0.019,1,1,1,68.16208394,77.4566474,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.125,300,leviathan,1,2,1382,15,30,0.009,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.125,300,leviathan,1,3,1383,15,30,0.007,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.125,300,leviathan,1,4,1383,15,30,0.007,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.0625,300,leviathan,1,0,1382,15,30,0.667,3,3,5,90.01447178,67.6300578,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.0625,300,leviathan,1,1,1382,15,30,0.637,3,3,5,87.33719247,78.32369942,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.0625,300,leviathan,1,2,1382,15,30,0.562,3,3,5,84.65991317,89.01734104,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.0625,300,leviathan,1,3,1383,15,30,0.482,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.0625,300,leviathan,1,4,1383,15,30,0.454,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.03125,300,leviathan,1,0,1382,15,30,3.917,3,3,5,90.01447178,67.6300578,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.03125,300,leviathan,1,1,1382,15,30,4.085,3,3,5,87.33719247,78.32369942,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.03125,300,leviathan,1,2,1382,15,30,4.013,3,3,5,84.65991317,89.01734104,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.03125,300,leviathan,1,3,1383,15,30,3.61,3,3,5,83.15256688,95.07246377,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.03125,300,leviathan,1,4,1383,15,30,3.5,3,3,5,83.51409978,77.97101449,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_high  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.015625,300,leviathan,1,0,1382,15,30,12.19,3,3,5,90.01447178,67.6300578,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,gosdt,None,None,0.015625,300,leviathan,1,1,1382,15,30,13.173,7,7,13,94.28364689,71.38728324,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $a1_high  \eq  1$ [ $class$ [ $1$ ] ] [ $a1_low  \eq  1$ [ $class$ [ $1$ ] ] [ $a1_med  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_med  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ] ],
