Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.5,300,leviathan,1,0,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.5,300,leviathan,1,1,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.5,300,leviathan,1,2,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.5,300,leviathan,1,3,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.5,300,leviathan,1,4,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.25,300,leviathan,1,0,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.25,300,leviathan,1,1,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.25,300,leviathan,1,2,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.25,300,leviathan,1,3,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.25,300,leviathan,1,4,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.125,300,leviathan,1,0,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.125,300,leviathan,1,1,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.125,300,leviathan,1,2,1382,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.125,300,leviathan,1,3,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.125,300,leviathan,1,4,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.0625,300,leviathan,1,0,1382,15,30,0.3431763621,3,3,5,90.01447178,67.6300578,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.0625,300,leviathan,1,1,1382,15,30,0.4572224608,3,3,5,87.33719247,78.32369942,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.0625,300,leviathan,1,2,1382,15,30,0.4598298389,3,3,5,84.65991317,89.01734104,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.0625,300,leviathan,1,3,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.0625,300,leviathan,1,4,1383,15,30,-1,-1,-1,-1,-1,-1,NA,
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.03125,300,leviathan,1,0,1382,15,30,2.163126669,3,3,5,90.01447178,67.6300578,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.03125,300,leviathan,1,1,1382,15,30,3.404379302,3,3,5,87.33719247,78.32369942,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.03125,300,leviathan,1,2,1382,15,30,7.725067923,3,3,5,84.65991317,89.01734104,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.03125,300,leviathan,1,3,1383,15,30,91.19887607,3,3,5,83.15256688,95.07246377,[ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.03125,300,leviathan,1,4,1383,15,30,80.79157912,3,3,5,72.3065799,67.24637681,[ $a6_high  \eq  1$ [ $class$ [ $1$ ] ] [ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.015625,300,leviathan,1,0,1382,15,30,303.4429288,3,3,5,90.01447178,67.6300578,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
