Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,0,5525,12,24,0.003417900298,2,2,3,63.47511312,65.55716353,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,1,5525,12,24,0.003308648244,2,2,3,63.83710407,64.10998553,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,2,5526,12,24,0.003162663896,2,2,3,64.5674991,61.18754526,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,3,5526,12,24,0.003203053959,2,2,3,63.66268549,64.80811007,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,4,5526,12,24,0.003244495019,2,2,3,63.9160333,63.79435192,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,0,5525,12,24,0.005542500876,3,4,7,65.84615385,67.29377713,[ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,1,5525,12,24,0.005701757036,3,4,7,66.33484163,65.34008683,[ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,2,5526,12,24,0.005430547986,3,4,7,66.63047412,64.59087618,[ $age:<26  \eq  1$ [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,3,5526,12,24,0.005304498132,3,4,7,66.35903004,65.67704562,[ $age:<26  \eq  1$ [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,4,5526,12,24,0.00561756175,3,4,7,66.19616359,66.32874728,[ $age:<26  \eq  1$ [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
