Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.5,300,leviathan,1,0,5525,12,24,0,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.5,300,leviathan,1,1,5525,12,24,0,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.5,300,leviathan,1,2,5526,12,24,0,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.5,300,leviathan,1,3,5526,12,24,0,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.5,300,leviathan,1,4,5526,12,24,0,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.25,300,leviathan,1,0,5525,12,24,0,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.25,300,leviathan,1,1,5525,12,24,0,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.25,300,leviathan,1,2,5526,12,24,0,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.25,300,leviathan,1,3,5526,12,24,0,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.25,300,leviathan,1,4,5526,12,24,0,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.125,300,leviathan,1,0,5525,12,24,0,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.125,300,leviathan,1,1,5525,12,24,0,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.125,300,leviathan,1,2,5526,12,24,0,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.125,300,leviathan,1,3,5526,12,24,0,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.125,300,leviathan,1,4,5526,12,24,0,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.0625,300,leviathan,1,0,5525,12,24,0,2,2,3,63.47511312,65.55716353,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.0625,300,leviathan,1,1,5525,12,24,0,2,2,3,63.83710407,64.10998553,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.0625,300,leviathan,1,2,5526,12,24,0,2,2,3,64.5674991,61.18754526,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.0625,300,leviathan,1,3,5526,12,24,0,2,2,3,63.66268549,64.80811007,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.0625,300,leviathan,1,4,5526,12,24,0,2,2,3,63.9160333,63.79435192,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.03125,300,leviathan,1,0,5525,12,24,0.004,2,2,3,63.47511312,65.55716353,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.03125,300,leviathan,1,1,5525,12,24,0.008,2,2,3,63.83710407,64.10998553,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.03125,300,leviathan,1,2,5526,12,24,0.003,2,2,3,64.5674991,61.18754526,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.03125,300,leviathan,1,3,5526,12,24,0.005,2,2,3,63.66268549,64.80811007,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.03125,300,leviathan,1,4,5526,12,24,0.003,2,2,3,63.9160333,63.79435192,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.015625,300,leviathan,1,0,5525,12,24,0.04,3,3,5,65.17647059,66.85962373,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.015625,300,leviathan,1,1,5525,12,24,0.049,3,3,5,65.70135747,64.76121563,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
