Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,1,6907,12,12,osdt,None,None,0.5,300,leviathan,1,0,5525,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.5,300,leviathan,1,1,5525,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.5,300,leviathan,1,2,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.5,300,leviathan,1,3,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.5,300,leviathan,1,4,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.25,300,leviathan,1,0,5525,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.25,300,leviathan,1,1,5525,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.25,300,leviathan,1,2,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.25,300,leviathan,1,3,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.25,300,leviathan,1,4,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.125,300,leviathan,1,0,5525,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.125,300,leviathan,1,1,5525,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.125,300,leviathan,1,2,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.125,300,leviathan,1,3,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.125,300,leviathan,1,4,5526,12,24,-1,-1,-1,-1,-1,-1,NA,
compas-binary,complete,1,6907,12,12,osdt,None,None,0.0625,300,leviathan,1,0,5525,12,24,0.1403737846,2,2,3,63.47511312,65.55716353,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.0625,300,leviathan,1,1,5525,12,24,0.1403172011,2,2,3,63.83710407,64.10998553,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.0625,300,leviathan,1,2,5526,12,24,0.1519344691,2,2,3,64.5674991,61.18754526,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.0625,300,leviathan,1,3,5526,12,24,0.1398663642,2,2,3,63.66268549,64.80811007,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
