Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.5,300,leviathan,1,0,5525,12,24,0.03608955303,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.5,300,leviathan,1,1,5525,12,24,0.04002333106,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.5,300,leviathan,1,2,5526,12,24,0.04038290819,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.5,300,leviathan,1,3,5526,12,24,0.03754325118,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.5,300,leviathan,1,4,5526,12,24,0.03706863616,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.25,300,leviathan,1,0,5525,12,24,0.03625583602,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.25,300,leviathan,1,1,5525,12,24,0.03828136297,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.25,300,leviathan,1,2,5526,12,24,0.03761797911,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.25,300,leviathan,1,3,5526,12,24,0.03631780995,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.25,300,leviathan,1,4,5526,12,24,0.03946168208,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.125,300,leviathan,1,0,5525,12,24,0.04923152318,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.125,300,leviathan,1,1,5525,12,24,0.05910891714,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.125,300,leviathan,1,2,5526,12,24,0.05324188806,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.125,300,leviathan,1,3,5526,12,24,0.05010342505,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.125,300,leviathan,1,4,5526,12,24,0.04871463822,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.0625,300,leviathan,1,0,5525,12,24,0.2493823068,2,2,3,63.47511312,65.55716353,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.0625,300,leviathan,1,1,5525,12,24,0.403149595,2,2,3,63.83710407,64.10998553,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.0625,300,leviathan,1,2,5526,12,24,0.402921027,2,2,3,64.5674991,61.18754526,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.0625,300,leviathan,1,3,5526,12,24,0.2605204186,2,2,3,63.66268549,64.80811007,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.0625,300,leviathan,1,4,5526,12,24,0.3863606346,2,2,3,63.9160333,63.79435192,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.03125,300,leviathan,1,0,5525,12,24,2.11486569,2,2,3,63.47511312,65.55716353,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,pygosdt,None,None,0.03125,300,leviathan,1,1,5525,12,24,2.135841228,2,2,3,63.83710407,64.10998553,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
