Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,0,8367,17,34,0.004938437138,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,1,8367,17,34,0.004707504995,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,2,8367,17,34,0.004580570851,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,3,8367,17,34,0.004497847985,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,4,8368,17,34,0.004796588328,2,2,3,69.39531549,69.53610713,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,0,8367,17,34,0.01229733182,3,4,7,71.86566272,64.14913958,[ $Inquiry<0.75  \eq  1$ [ $ExternalRiskEstimate<0.80  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,1,8367,17,34,0.0115089952,3,4,7,71.14855982,71.08030593,[ $Inquiry<0.75  \eq  1$ [ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,2,8367,17,34,0.01172158495,3,4,7,70.8139118,72.41873805,[ $Inquiry<0.75  \eq  1$ [ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,3,8367,17,34,0.01190798776,3,4,7,71.2919804,70.50669216,[ $Inquiry<0.75  \eq  1$ [ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,4,8368,17,34,0.01119167311,3,4,7,71.12810707,71.16212339,[ $Inquiry<0.75  \eq  1$ [ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
