Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.5,300,leviathan,1,0,8367,17,34,0,1,1,1,50.86649934,57.50478011,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.5,300,leviathan,1,1,8367,17,34,0,1,1,1,52.98195291,49.04397706,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.5,300,leviathan,1,2,8367,17,34,0,1,1,1,52.32460858,51.67304015,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.5,300,leviathan,1,3,8367,17,34,0,1,1,1,51.79873312,53.77629063,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.5,300,leviathan,1,4,8368,17,34,0,1,1,1,52.99952199,48.97178384,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.25,300,leviathan,1,0,8367,17,34,0.004,1,1,1,50.86649934,57.50478011,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.25,300,leviathan,1,1,8367,17,34,0.004,1,1,1,52.98195291,49.04397706,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.25,300,leviathan,1,2,8367,17,34,0.004,1,1,1,52.32460858,51.67304015,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.25,300,leviathan,1,3,8367,17,34,0.004,1,1,1,51.79873312,53.77629063,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.25,300,leviathan,1,4,8368,17,34,0.004,1,1,1,52.99952199,48.97178384,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.125,300,leviathan,1,0,8367,17,34,0.004,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.125,300,leviathan,1,1,8367,17,34,0.004,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.125,300,leviathan,1,2,8367,17,34,0.004,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.125,300,leviathan,1,3,8367,17,34,0.004,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.125,300,leviathan,1,4,8368,17,34,0.004,2,2,3,69.39531549,69.53610713,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.0625,300,leviathan,1,0,8367,17,34,0.386,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.0625,300,leviathan,1,1,8367,17,34,0.123,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.0625,300,leviathan,1,2,8367,17,34,0.135,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.0625,300,leviathan,1,3,8367,17,34,0.139,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.0625,300,leviathan,1,4,8368,17,34,0.159,2,2,3,69.39531549,69.53610713,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.03125,300,leviathan,1,0,8367,17,34,4.606,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.03125,300,leviathan,1,1,8367,17,34,2.28,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.03125,300,leviathan,1,2,8367,17,34,2.621,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.03125,300,leviathan,1,3,8367,17,34,2.735,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.03125,300,leviathan,1,4,8368,17,34,3.056,2,2,3,69.39531549,69.53610713,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.015625,300,leviathan,1,0,8367,17,34,21.834,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.015625,300,leviathan,1,1,8367,17,34,13.553,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
