Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
fico-binary,complete,1,10459,17,17,osdt,None,None,0.5,300,leviathan,1,0,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.5,300,leviathan,1,1,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.5,300,leviathan,1,2,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.5,300,leviathan,1,3,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.5,300,leviathan,1,4,8368,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.25,300,leviathan,1,0,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.25,300,leviathan,1,1,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.25,300,leviathan,1,2,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.25,300,leviathan,1,3,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.25,300,leviathan,1,4,8368,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,osdt,None,None,0.125,300,leviathan,1,0,8367,17,34,1.756620727,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.125,300,leviathan,1,1,8367,17,34,1.621519267,1,1,1,47.01804709,50.95602294,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.125,300,leviathan,1,2,8367,17,34,1.738895796,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.125,300,leviathan,1,3,8367,17,34,1.720700737,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.125,300,leviathan,1,4,8368,17,34,1.727363812,1,1,1,47.00047801,51.02821616,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0625,300,leviathan,1,0,8367,17,34,1.775757126,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0625,300,leviathan,1,1,8367,17,34,1.628905381,1,1,1,47.01804709,50.95602294,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0625,300,leviathan,1,2,8367,17,34,1.729095717,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0625,300,leviathan,1,3,8367,17,34,1.725502364,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0625,300,leviathan,1,4,8368,17,34,1.737302891,1,1,1,47.00047801,51.02821616,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.03125,300,leviathan,1,0,8367,17,34,5.205710403,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.03125,300,leviathan,1,1,8367,17,34,2.649007759,1,1,1,47.01804709,50.95602294,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.03125,300,leviathan,1,2,8367,17,34,2.86431488,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.03125,300,leviathan,1,3,8367,17,34,2.810798774,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.03125,300,leviathan,1,4,8368,17,34,2.818528906,1,1,1,47.00047801,51.02821616,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.015625,300,leviathan,1,0,8367,17,34,304.9491881,2,2,3,69.55898171,69.7418738,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.015625,300,leviathan,1,1,8367,17,34,301.7318298,1,1,1,47.01804709,50.95602294,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.015625,300,leviathan,1,2,8367,17,34,301.9629737,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.015625,300,leviathan,1,3,8367,17,34,301.9008781,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.015625,300,leviathan,1,4,8368,17,34,301.7771846,1,1,1,47.00047801,51.02821616,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0078125,300,leviathan,1,0,8367,17,34,306.1839846,3,3,5,62.96163499,56.69216061,[ $Inquiry<0.75  \eq  1$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate<0.80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0078125,300,leviathan,1,1,8367,17,34,306.1608138,1,1,1,47.01804709,50.95602294,[ $class$ [ $1$ ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0078125,300,leviathan,1,2,8367,17,34,306.0955509,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0078125,300,leviathan,1,3,8367,17,34,306.0440714,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,osdt,None,None,0.0078125,300,leviathan,1,4,8368,17,34,306.2854327,1,1,1,47.00047801,51.02821616,[ $class$ [ $1$ ] ],
