Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.5,300,leviathan,1,0,8367,17,34,0.04390095407,1,1,1,50.86649934,57.50478011,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.5,300,leviathan,1,1,8367,17,34,0.03935461631,1,1,1,52.98195291,49.04397706,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.5,300,leviathan,1,2,8367,17,34,0.03579528304,1,1,1,52.32460858,51.67304015,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.5,300,leviathan,1,3,8367,17,34,0.03165885573,1,1,1,51.79873312,53.77629063,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.5,300,leviathan,1,4,8368,17,34,0.03821660671,1,1,1,52.99952199,48.97178384,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.25,300,leviathan,1,0,8367,17,34,0.04118161276,1,1,1,50.86649934,57.50478011,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.25,300,leviathan,1,1,8367,17,34,0.03850235837,1,1,1,52.98195291,49.04397706,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.25,300,leviathan,1,2,8367,17,34,0.03611731622,1,1,1,52.32460858,51.67304015,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.25,300,leviathan,1,3,8367,17,34,0.04278165102,1,1,1,51.79873312,53.77629063,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.25,300,leviathan,1,4,8368,17,34,0.04355044896,1,1,1,52.99952199,48.97178384,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.125,300,leviathan,1,0,8367,17,34,2.998972926,2,2,3,69.55898171,69.7418738,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.125,300,leviathan,1,1,8367,17,34,1.476927742,2,2,3,69.60678857,68.69024857,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.125,300,leviathan,1,2,8367,17,34,2.277106864,2,2,3,69.71435401,69.12045889,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.125,300,leviathan,1,3,8367,17,34,2.107218282,2,2,3,69.89362974,68.40344168,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.125,300,leviathan,1,4,8368,17,34,2.194123896,2,2,3,69.39531549,69.53610713,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.0625,300,leviathan,1,0,8367,17,34,35.2066914,2,2,3,69.55898171,69.7418738,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.0625,300,leviathan,1,1,8367,17,34,28.61667732,2,2,3,69.60678857,68.69024857,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.0625,300,leviathan,1,2,8367,17,34,31.33361837,2,2,3,69.71435401,69.12045889,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.0625,300,leviathan,1,3,8367,17,34,32.89375011,2,2,3,69.89362974,68.40344168,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.0625,300,leviathan,1,4,8368,17,34,33.5335216,2,2,3,69.39531549,69.53610713,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.03125,300,leviathan,1,0,8367,17,34,144.0127288,2,2,3,69.55898171,69.7418738,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.03125,300,leviathan,1,1,8367,17,34,112.0436993,2,2,3,69.60678857,68.69024857,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.03125,300,leviathan,1,2,8367,17,34,130.9875064,2,2,3,69.71435401,69.12045889,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.03125,300,leviathan,1,3,8367,17,34,-1,-1,-1,-1,-1,-1,NA,
fico-binary,complete,1,10459,17,17,pygosdt,None,None,0.03125,300,leviathan,1,4,8368,17,34,133.834096,2,2,3,69.39531549,69.53610713,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
