Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,osdt,None,None,0.5,300,leviathan,1,0,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.5,300,leviathan,1,1,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.5,300,leviathan,1,2,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.5,300,leviathan,1,3,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.5,300,leviathan,1,4,100,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.25,300,leviathan,1,0,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.25,300,leviathan,1,1,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.25,300,leviathan,1,2,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.25,300,leviathan,1,3,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.25,300,leviathan,1,4,100,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.125,300,leviathan,1,0,99,11,22,0.01554399077,2,2,3,74.74747475,68,[ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.125,300,leviathan,1,1,99,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-1,complete,1,124,11,11,osdt,None,None,0.125,300,leviathan,1,2,99,11,22,0.01402221713,2,2,3,77.77777778,56,[ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
