Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-2,complete,1,169,11,11,dl85,1,None,None,300,leviathan,1,0,135,11,22,0.00214227289,2,2,3,60,70.58823529,[ $a5_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-2,complete,1,169,11,11,dl85,1,None,None,300,leviathan,1,1,135,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-2,complete,1,169,11,11,dl85,1,None,None,300,leviathan,1,2,135,11,22,0.001527962741,2,2,3,64.44444444,52.94117647,[ $a5_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-2,complete,1,169,11,11,dl85,1,None,None,300,leviathan,1,3,135,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-2,complete,1,169,11,11,dl85,1,None,None,300,leviathan,1,4,136,11,22,0.001569594257,2,2,3,63.97058824,54.54545455,[ $a5_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-2,complete,1,169,11,11,dl85,2,None,None,300,leviathan,1,0,135,11,22,0.002201251686,3,4,7,68.14814815,35.29411765,[ $a3_1  \eq  1$ [ $a4_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-2,complete,1,169,11,11,dl85,2,None,None,300,leviathan,1,1,135,11,22,0.002133891918,3,4,7,67.40740741,50,[ $a6_1  \eq  1$ [ $a1_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-2,complete,1,169,11,11,dl85,2,None,None,300,leviathan,1,2,135,11,22,0.002242397983,3,4,7,66.66666667,64.70588235,[ $a3_1  \eq  1$ [ $a6_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-2,complete,1,169,11,11,dl85,2,None,None,300,leviathan,1,3,135,11,22,0.002181187272,3,3,5,67.40740741,55.88235294,[ $a3_1  \eq  1$ [ $a6_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ],
monk-2,complete,1,169,11,11,dl85,2,None,None,300,leviathan,1,4,136,11,22,0.002121293917,3,3,5,66.17647059,54.54545455,[ $a2_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a5_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-2,complete,1,169,11,11,dl85,3,None,None,300,leviathan,1,0,135,11,22,0.005486811977,4,7,13,77.03703704,50,[ $a4_1  \eq  1$ [ $a2_1  \eq  1$ [ $a6_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a3_1  \eq  1$ [ $a5_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
